ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
9783960960997; 3960960999,Kennt man dich?,1. Auflage,Köln,Community Editions,2019,238,Timon,,,,,"Fiktionale Darstellung; Humor, Satire; Erzählende Literatur; Romanhafte Biographien; Comic, Cartoon, Humor, Satire; Biographien für Kinder und Jugendliche; Bilderbücher; Märchen und Sagen für Kinder und Jugendliche",ger,
9783738629682; 3738629688,"Kerzen, Wunder, Himmels-Zunder",2. Auflage,Norderstedt,BoD – Books on Demand,2019,116,,,,"Hewener, Vera",,Lyrik,ger,
9783707606713; 3707606716,Kieselsteine,1. Auflage,Wien,Czernin Verlag,2019,120,"Welsh, Renate",,,,,Fiktionale Darstellung; Romanhafte Biographien; Historische Romane und Erzählungen; Erzählende Literatur,ger,
9783749427130; 3749427135,Kleopatra und Violette,1. Auflage,Norderstedt,BoD – Books on Demand,2019,52,,,,"Engelhardt, Barbara Frida Helene",,Romanhafte Biographien,ger,
9783966370998; 3966370999,Krambambuli,1. Auflage,Hamburg,Gröls Verlag,2019,100,,,,"Ebner-Eschenbach, Marie von",,"Lyrik, Dramatik",ger,
9783966371001; 3966371006,Krambambuli,1. Auflage,Hamburg,Gröls Verlag,2019,100,,,,"Ebner-Eschenbach, Marie von",,Dramatik,ger,
9783748541363; 3748541368,Kreislauf des Lebens,2. Auflage,Berlin,epubli,2019,112,,,,"Borchelt, Helga",,"Lyrik, Dramatik",ger,
9783746799742; 3746799740,Kreislauf des Lebens,1. Auflage,Berlin,epubli,2019,108,,,,"Borchelt, Helga",,"Lyrik, Dramatik",ger,
9783750419209; 3750419205,Lacha is gesund,2. Auflage,Norderstedt,BoD – Books on Demand,2019,100,,,,"Pflügler, Hildegard",,Lyrik,ger,
9783748576167; 3748576161,Leben nach Mitternacht,7. Auflage,Berlin,epubli,2019,64,,,,"Klingenberg, Axel; Schlagowski, Alexandra",,Romanhafte Biographien,ger,
9783746061535; 3746061539,Lebenspfade,2. Auflage,Norderstedt,BoD – Books on Demand,2019,224,,,,"Kühnapfel, Bernd A.",,Romanhafte Biographien; Erzählende Literatur,ger,
9783748240884; 3748240880,Ledaweg 62,1. Auflage,Hamburg,tredition,2019,216,"Reincke, Bernd",,,,,Romanhafte Biographien,ger,
9783899982947; 3899982940,Lenin - Hitler - Ulbricht,1. Auflage,Berlin,Anthea-Verlag,2019,200,"Saltner, Lutz",,,,,Fiktionale Darstellung; Romanhafte Biographien,ger,
9783748141082; 3748141084,Licht im Licht,1. Auflage,Norderstedt,BoD – Books on Demand,2019,64,,,,"Höver, Anne",,Lyrik,ger,
9783944360584; 3944360583,Lücken-Geschichten in Reimen,1. Auflage,Karlsruhe,SingLiesel GmbH,2019,111,"Mallek, Natali",,,,,Anthologie; Lyrik,ger,
9783750257580; 3750257582,Luftwurzeln,1. Auflage,Berlin,epubli,2019,184,"Zopfi, Emil",,,,,Romanhafte Biographien,ger,
9783947618859; 3947618859,Lustige Geschichten,Der Neusatz des Textes folgt der Ausgabe München 1920,Grafrath,"Boer, K",2019,160,,,,"Čechov, Anton Pavlovič; Eliasberg, Alexander",,Erzählende Literatur: Hauptwerk vor 1945,ger,
9783961035854; 3961035857,Lyrik am Effner,,Remscheid,Rediroma-Verlag,2019,46,,"Spiegelhauer, Tom",,,,Anthologie; Lyrik,ger,
