ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
9783789393280,Ein kleines Buch für den Advent,1. Sonderaufl.,Witten,SCM Coll.,2008,103,,,,,,,ger,
9783934524972,Eine westafrikanische Erzählung,,Simmern,Pandion,2008,110,,,,,,,ger,
9783000250149,Eldorado und zwölf weitere phantastische Geschichten,"Orig.-Ausg., 1. Aufl.",Hannover,Verl. Phantastische Zeiten,2008,175,,,,,,,ger,
9783937591544,Eltern haften für ihre Kinder!,,Waldsolms/Hessen,Gipfelbuch-Verl.,2008,144,,,,,,,ger,
9783940387134,Erotische Geschichten von Frauen (nicht nur) für Frauen,"Vollst. Taschenbuchausg., 1. Aufl.","Frankfurt, M.",Ed. Leserunde,2008,152,,,,,,,ger,
9783596900992,Feenhaft und wunderbar,Orig.-Ausg.,"Frankfurt, M.",Fischer-Taschenbuch-Verl.,2008,334,,,,,,Anthologie; Anthologie; Anthologie,ger,
9783902263124; 3902263121,Frisch aus der Feder,,Kirchstetten,Kulturstammtisch,2008,80,,,,,,,ger,
9783837043488,Gedankenpioniere,1. Aufl.,Norderstedt,Books on Demand GmbH,2008,52,,,,,,,ger,
9783900087258,Geheimnisvolle Weihnachtszeit,,Klagenfurt,Bieche & Partner,2008,62,,,,,,Anthologie; Anthologie; Anthologie,ger,
9783939976042,Gemeinsame Sache,1. Aufl.,Isernhagen,Ulber,2008,48,,,,,,,ger,
9783867038607,"""Gereimtes Leipziger Allerlei""",,Leipzig,Engelsdorfer Verl.,2008,101,,,,,,,ger,
9783867036863; 3867036861,Geschichte und Geschichten eines literarischen Weges,,Leipzig,Engelsdorfer Verl.,2008,132,,,,,,,ger,
9783939465393,Geschichten aus dem Leben,1. Aufl.,Föritz-Weidhausen,Amicus,2008,150,,,,,,,ger,
9783980923118,Geschichten aus dem Leben,,Bad Salzdetfurth,Spautz,2008,128,,,,,,Anthologie; Anthologie; Erzählende Literatur: Anthologien,ger,
9783937544083,Geschichten eines Krieges,Erstausg.,Petershagen,vph,2008,380,,,,,,,ger,
9783837025255,Geschichten für die Sterne,,Norderstedt,Books on Demand GmbH,2008,560,,,,,,,ger,
9783837024333,Geschichten für die Sterne,,Norderstedt,Books on Demand GmbH,2008,516,,,,,,,ger,
9781409210092,Geschichten für Senioren und Demenzerkrankte!,,"Morrisville, NC",Lulu,2008,243,,,,,,,ger,
9781409210511,"Geschichten und Geschichtchen, gesammelt für Demenzerkrankte und Interessierte","Gekürzte Fassung, 1. Aufl.","Morrisville, NC",Lulu,2008,89,,,,,,,ger,
9783941455030,Gewitter ...,1. Aufl.,Goldbach,Hierreth,2008,152,,,,,,,ger,
9783939610199,Grusel & Horror,1. Aufl.,Berlin,CAM,2008,38,,,,,,,ger,
9783939610137,Grusel & Horror,1. Aufl.,Berlin,CAM,2008,196,,,,,,,ger,
9783936894592,Gutes zu tun vergesst nicht,1. Aufl.,Steinhagen,Samenkorn e.V.,2008,91,,,,,,,ger,
9783897931756,Häng dich auf und lebe,,Berlin,Verl. am Park,2008,279,,,,,,,ger,
9783939610144; 3939610143,Herzschmerz,1. Aufl.,Berlin,CAM,2008,56,,,,,,,ger,
9783798602724,Hier wird Sex zur ... Chefsache,1. Aufl.,Flensburg,Stephenson,2008,271,,,,,,,ger,
9783798602595,Hot summer,1. Aufl.,Flensburg,Stephenson,2008,381,,,,,,Erzählende Literatur: Anthologien,ger,
9783940360076,Im Wartezimmer,1. Aufl.,Lohr-Halsbach,WDS-Verl.,2008,202,,,,,,Anthologie; Anthologie,ger,
9783529048623,In de School,,Neumünster,Wachholtz,2008,113,,,,,,Anthologie; Anthologie,ger,
9783980864565,Jahreszeiten - Lebenszeiten,1. Aufl.,Dieburg,Ed. Blaue Feder,2008,125,,,,,,,ger,
9783937664712; 3937664718,Kettenreaktionen,,Braunschweig,Appelhans,2008,167,,,,,,Anthologie; Anthologie,ger,
9783000246043,Kleine Sünden,,Chemnitz,ThinkFactory,2008,169,,,,,,,ger,
9783837040678,Kopf Kino,,Norderstedt,Books on Demand GmbH,2008,134,,,,,,,ger,
9783932499814,Lesbisches Jugendbuch,,Meerane,Elles,2008,228,,,,,,Anthologie; Anthologie,ger,
9783109909023; 3109909022,Literarischer Kalender 2009,1. Aufl.,Frankfurt am Main,"Fischer, S",2008,144,,,,,,,ger,
9783981177060,Lügenmärchen und andere unglaubliche Geschichten aus dem Allgäu,,Bad Hindelang,Ursus-Verl.,2008,168,,,,,,,ger,
9783784334622,Memoiren einer Mistgabel,3. Aufl.,Münster,Landwirtschaftsverl.,2008,158,,,,,,Anthologie; Anthologie,ger,
9783000259968,Mindbook,1. Aufl.,"Leipzig, Karl-Heine-Str. 20",R. Hartmann,2008,61,,,,,,,ger,
9783000257162,Mit PC und Feder,,Puchheim,Seniorenschreibtisch der Gemeinde Puchheim,2008,179,,,,,,Anthologie; Anthologie,ger,
9783940554093,Momente der Besinnung,,Ganderkesee,EPLA-Verl.,2008,138,,,,,,,ger,
9783980111645,Mord und Blutwurst,,Pfungstadt,Buchhandlung Helené,2008,211,,,,,,,ger,
9783865321114,Mord-Westfalen,,Bielefeld,Pendragon,2008,388,,,,,,,ger,
9783940235176; 3940235172,Mords Schafe,,Mossautal,Sieben-Verl.,2008,123,,,,,,"Krimis, Thriller, Spionage",ger,
9783866346086,Nachbarn,1. Aufl.,Halle,Projekte-Verl. Cornelius,2008,227,,,,,,,ger,
9783784334905,Neue Memoiren einer Mistgabel,,Münster,Landwirtschaftsverl.,2008,142,,,,,,,ger,
9783940179050,Oh du Fröhliche,1. Aufl.,Darmstadt,Weststadt-Verl.,2008,97,,,,,,Anthologie; Anthologie,ger,
9783940119070; 3940119075,OurStory,,Forchheim,Verl. Art of Arts,2008,292,,,,,,,ger,
9783940101402,Plattdütsch Austtiet,1. Aufl.,Friedland,Steffen,2008,126,,,,,,,ger,
9783981259001,Poetengeflüster,1. Aufl.,Dresden,Diskurs-Verl.,2008,92,,,,,,,ger,
9783897164161,Postcard Stories Adventskalender,,Cadolzburg,ars vivendi,2008,,,,,,,,ger,
9783897169227,Postcard Stories Crime 2,,Cadolzburg,ars vivendi,2008,,,,,,,,ger,
9783897168084; 3897168081,Postcard Stories Summertime,1. Aufl.,Cadolzburg,ars vivendi,2008,,,,,,,,ger,
9783798602502,Schamlos,1. Aufl.,Flensburg,Stephenson,2008,272,,,,,,,ger,
9783940830029,Science-Fiction-Stories,,Unterensingen,Sarturia-Verl. Autoren-Service,2008,242,,,,,,,ger,
9783941560000,Sketches of laugh and decay,,Berlin,Argobooks,2008,40,,,,,,,ger; eng,
9783897169272,Smoke,"Orig.-Ausg., 1. Aufl.",Cadolzburg,Ars vivendi,2008,202,,,,,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
9783833474651,So geht Verlieben,,Norderstedt,Books on Demand GmbH,2008,146,,,,,,,ger,
9783940554109,Spannungsfelder,,Ganderkesee,EPLA-Verl.,2008,144,,,,,,,ger,
9783867036542; 3867036543,SpruchReif,,Leipzig,Engelsdorfer Verl.,2008,218,,,,,,,ger,
9783937439150,Steinreich,,Dienheim,Iatros-Verl.,2008,81,,,,,,,ger,
9783981163223,Stephen-King.de präsentiert Mitternachtsgrauen,,Norderstedt,Books on Demand GmbH,2008,200,,,,,,,ger,
9783866851078,Strömungen,,Vechta-Langförden,Geest-Verl.,2008,174,,,,,,,ger,
9783940450524,Tierische Geschichten und spannende Erzählungen,,Remscheid,Re-Di-Roma-Verl.,2008,276,,,,,,,ger,
9783940609168,... überraschend weihnachtlich,1. Aufl.,Regensburg,Spielberg-Verl.,2008,84,,,,,,Anthologie; Anthologie,ger,
9783760729121,Von drauß' vom Walde komm ich her,,München,ArsEd.,2008,50,,,,,,,ger,
9783000214424,Von Gewalt und Zärtlichkeit,,Erfurt,Verb. Dt. Schriftsteller,2008,127,,,,,,,ger,
9783867034289,"Von Menschen, Mäusen und Hartz IV",,Leipzig,Engelsdorfer Verl.,2008,104,,,,,,,ger,
9783940554239,Weihnachtliche Freude,,Ganderkesee,EPLA-Verl.,2008,140,,,,,,,ger,
9783939610205,Weihnachtsgedicht-Anthologie 2008,1. Aufl. überarb.,Berlin,CAM,2008,155,,,,,,,ger,
9783940767066; 3940767069,Weiße Geschichten,Orig.-Erstausg.,Berlin,Periplaneta,2008,220,,,,,,,ger,
9783784350004,Weitere Memoiren einer Mistgabel,,Münster,Landwirtschaftsverl.,2008,148,,,,,,,ger,
9783902503206,Wenn bunte Blätter Worte werden,1. Aufl.,Graz,SoralPro-Verl.,2008,197,,,,,,,ger,
9783934960657,Wie ein Phönix aus der Asche,,Hockenheim,Ed. L,2008,263,,,,,,Anthologie; Anthologie,ger,
