ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
9783446241152; 3446241159,Die Zeit altert schnell,,München,"Hanser, Carl",2010,,"Tabucchi, Antonio",,"Fleischanderl, Karin",,,Erzählende Literatur,ger,ita
9783423138895,Ein Bräutigam und zwei Bräute,,München,Dt. Taschenbuch-Verl.,2010,215,"Singer, Isaac Bashevis",,"List, Sylvia","Singer, Isaac Bashevis",,Anthologie; Anthologie,ger,eng; heb
9783518461990,Ein diskretes Wunder,"Dt. Erstausg., 1. Aufl.",Berlin,Suhrkamp,2010,124,"Allende, Isabel",,"Kolanoske, Lieselotte",,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,spa
9783036955766,Ein dreifach Hoch auf die Milchstrasse!,Dt. Erstausg.,Zürich,Kein & Aber,2010,286,"Vonnegut, Kurt",,"Rowohlt, Harry","Vonnegut, Kurt",,,ger,eng
9783821858371,Ein Paradies für Ethnographen,1. Aufl.,"Frankfurt, M.",Eichborn,2010,172,"Kapuściński, Ryszard",,"Pollack, Martin","Kapuściński, Ryszard",,Anthologie; Anthologie,ger,pol
9783869350363,"Ein Rosenfeuer, das uns verstört",,Kiel,Ludwig,2010,126,,"Gómez-Montero, Javier; Rodríguez Gómez, Luciano","Strien-Bourmer, Petra",,,,ger; glg,glg
9783950275049,Ein schwarzer Tag für die Gerechtigkeit,,Bad Vöslau,Stockmann,2010,287,"Walsh, Rodolfo J.",,"Kliche, Lutz",,,,ger,spa
9783455402636,Eine Bagatelle,1. Aufl.,Hamburg,Hoffmann und Campe,2010,128,"Čechov, Anton Pavlovič",,"Eliasberg, Alexander",,,,ger,rus
9783492259699,Elche unterm Weihnachtsbaum,Ungekürzte Taschenbuchausg.,München,Piper,2010,227,,"Drolshagen, Ebba D.; Elsässer, Regine",,,,Anthologie; Anthologie,ger,mul
9783862560028,Engel singen nicht für Geld,,Schwarzenfeld,Neufeld-Verl.,2010,156,"Trocmé, André",,"Schott, Hanna",,"Güthoff, Anja",,ger,fre
9783150202111,Erzählungen,,Stuttgart,Reclam,2010,469,"Tolstoj, Lev Nikolaevič",,"Heitkam, Barbara",,,,ger,rus
9783866474727,Famous American short stories,,Köln,Anaconda,2010,348,,,"Biermann, Pieke",,,Anthologie; Anthologie,ger; eng,eng
9783866475007,Fantastische Erzählungen,,Köln,Anaconda,2010,192,"Turgenev, Ivan Sergeevič",,"Eliasberg, Alexander",,,Anthologie; Anthologie,ger,rus
9783902585585,Ferne Gestade des Lebens,,Klagenfurt,Kitab,2010,193,"Beksultanov, Musa",,"Herold, Marianne",,,Anthologie; Anthologie,ger,che
9783499248399,Fremde Erde,Dt. Erstausg.,Reinbek bei Hamburg,Rowohlt-Taschenbuch-Verl.,2010,302,"Lahiri, Jhumpa",,"Krueger, Gertraude","Lahiri, Jhumpa",,Anthologie; Anthologie,ger,eng
9783629104915,Freundinnen,,München,Pattloch,2010,128,,"Schachner, Michaela",,,,,ger,eng; fre
9783423094917,Funny stories,Orig.-Ausg.,München,Dt. Taschenbuch-Verl.,2010,180,,"Raykowski, Harald",,,,,ger; eng,eng
9783895007767,Georgische Gegenwartsliteratur,,Wiesbaden,Reichert,2010,394,,,,,"Tandaschwili, Manana",Anthologie; Anthologie,ger; geo,geo
9783867620703,Geschichten aus der Nightside,1. Aufl.,Mannheim,Feder & Schwert,2010,217,"Green, Simon R.",,"Heinrici, Dominik",,,,ger,eng
9783867620710,Geschichten aus der Nightside,1. Aufl.,Mannheim,Feder & Schwert,2010,249,"Green, Simon R.",,"Heinrici, Dominik",,,,ger,eng
9783150201954,Geschichten aus Tausendundeiner Nacht,,Stuttgart,Reclam,2010,852,,"Bürgel, Johann Christoph","Henning, Max",,,Anthologie; Anthologie,ger,ara
9783821861159,Gewaltige Hölle,1. Aufl.,"Frankfurt, M.",Eichborn,2010,194,"Martínez, Guillermo",,"Ammar, Angelica","Martínez, Guillermo",,,ger,spa
9783036955551,"Gleich, Schätzchen",Dt. Erstausg.,Zürich,Kein & Aber,2010,239,"Simpson, Helen",,"Bodmer, Thomas","Simpson, Helen",,,ger,eng
9783446230651,"Goodbye, Columbus",,München,Hanser,2010,328,"Roth, Philip",,"Haas, Herta","Roth, Philip",,Anthologie; Anthologie,ger,eng
9783833221255,Halo-Evolutionen,1. Aufl.,Stuttgart,Panini-Verl.-GmbH,2010,539,,,"Kern, Claudia",,,,ger,eng
9783442375530,Heiße Befehle,"Dt. Erstveröff., 1. Aufl.",München,Blanvalet,2010,316,,"Sharp, Kerri","Müller, Claudia",,,,ger,eng
9783499254192,Hingabe,,Reinbek bei Hamburg,Rowohlt-Taschenbuch-Verl.,2010,267,"Haslett, Adam",,Pociao,"Haslett, Adam",,,ger,eng
9783942584005,Hotel China,1. Aufl.,Aachen,EPIDU-Verl.,2010,253,,,"Giesselmann, Ulrike",,"Rövekamp, Frank",Anthologie; Anthologie; Erzählende Literatur: Anthologien,ger,eng
9783906739601,"Ich, zwischen Leben und Tod",1. Aufl.,Zürich,KaMeRu Verlag,2010,180,"Kulikova, Ludmila",,"Madovcik, Katarina","Kulikova, Ludmila",,,ger,rus
9783934673908; 3934673902,Ihre schönsten Erzählungen,1. Aufl.,Greiz,König,2010,237,"Lagerlöf, Selma",,,,,,ger,swe
9783934673939; 3934673937,Ihre schönsten Erzählungen,1. Aufl.,Greiz,König,2010,223,"Lagerlöf, Selma",,,,,,ger,swe
9783942396080,Im Schatten des Jaguars,,Berlin,Golkonda,2010,183,"Gorodischer, Angélica",,,,,,ger,spa
9783404164523,Im Verborgenen,"Dt. Erstausg., vollst. Taschenbuchausg., 1. Aufl.",Köln,Bastei Lübbe Taschenbuch,2010,507,"Ajvide Lindqvist, John",,"Berf, Paul","Ajvide Lindqvist, John",,Erzählende Literatur: Hauptwerk vor 1945,ger,swe
9783902585479,Inmitten von fremden Ernten,,Klagenfurt,Kitab,2010,216,"Palej, Marina A.",,"Engel, Christine",,,,ger,rus
9783936708738,Ins Röckchen gezwungen,"4., erw. Aufl.",Nehren,Marterpfahl-Verl.,2010,180,,,,,"Dunnit, Glynis; Happ, Rüdiger",,ger,eng
9783499222863,Jonas oder der Künstler bei der Arbeit,2. Aufl.,Reinbek bei Hamburg,Rowohlt-Taschenbuch-Verl.,2010,269,"Camus, Albert",,"Meister, Guido G.","Camus, Albert",,,ger,fre
9783895862403,Kabba short stories,,Muenchen,LINCOM Europa,2010,664,,"Moser, Rosmarie",,,,Anthologie; Anthologie,fre; eng; ger,und
9783499253416,"Küsschen, Küsschen!",Sonderausg.,Reinbek bei Hamburg,Rowohlt-Taschenbuch-Verl.,2010,301,"Dahl, Roald",,"Mülbe, Wolfheinrich von der","Dahl, Roald",,,ger,eng
9783939416463,Kurzgeschichten,,Bremen,M-haditec,2010,102,"Ṣadr, Amīna Ḥaidar aṣ-",,"Mehrabi, Nima",,,Erzählende Literatur: Anthologien,ger,ara
9783813503302,Liebe und Hindernisse,1. Aufl.,München,Knaus,2010,254,"Hemon, Aleksandar",,"Hermstein, Rudolf","Hemon, Aleksandar",,,ger,eng
9783257239461,Liebesterror und andere Erzählungen,,Zürich,Diogenes,2010,216,"Tokareva, Viktorija Samojlovna",,"Schneider, Angelika",,,Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,rus
9783867891097,Lob der Trägheit gefolgt von Die Panikveteranen,"Dt. Erstausg., 1. Aufl.",Berlin,Rotbuch-Verl.,2010,123,"Casas, Fabián",,"Berger, Timo","Casas, Fabián",,Fiktionale Darstellung; Belletristische Darstellung,ger,spa
9783763262984,Mafeking Road und andere Erzählungen,"Dt. Erstausg., 1. Aufl.","Frankfurt, M.",Büchergilde Gutenberg,2010,201,"Bosman, Herman Charles",,"Kleeberg, Michael","Bosman, Herman Charles",,Anthologie; Anthologie,ger,eng
9783940111678,Mafeking Road und andere Erzählungen,,"Frankfurt, M.",Ed. Büchergilde,2010,201,"Bosman, Herman Charles",,"Kleeberg, Michael","Bosman, Herman Charles",,Anthologie; Anthologie,ger,eng
9783518421437,Marjams Geschichten,1. Aufl.,Berlin,Suhrkamp,2010,474,"Ṣubḥ, ʿAlawīya",,,"Ṣubḥ, ʿAlawīya","Chammaa, Leila",Fiktionale Darstellung; Belletristische Darstellung,ger,ara
9783257067514,Mein Körper weiß alles,,Zürich,Diogenes,2010,203,"Yoshimoto, Banana",,"Ortmann, Annemarie","Yoshimoto, Banana",,,ger,jpn
9783869398013,Messias' Zeiten,,Rudolstadt,Greifenverl.,2010,202,,"Elias, Holger","Eliasberg, Alexander",,"Peretz, Isaac Leib; Sholem Aleykhem; Frischmann, Dowid",Anthologie; Anthologie,ger,yid
9783453526846,Metatropolis,Dt. Erstausg.,München,Heyne,2010,412,,"Scalzi, John","Kempen, Bernhard",,,,ger,eng
