ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
,Gebraucht,,Leipzig,Nadja Lanart,2023,1,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Gedichte & Geschichten,,Graz,Wir machen Kultur,2023,,,,,,,,ger,
,Gedichte und Geschichten,,42023,,2023,,,,,,,,ger,
,Geliehene Träume und andere Kurzgeschichten,Erste Auflage,Kassel,Eigenverlag,2023,109,FELiCiTARiS,,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
,Geschichten aus dem Wienerwald,,Aarau,Breuninger Theaterverlag,2023,60,"Horváth, Ödön von",,"Burkhalter, Simon",,,Theaterstück; Dramatik,gsw; ger,ger
,Geschichten aus'n Arzgebirg,,Sehmatal-Neudorf,Werbeagentur Hochwald,2023,138,"Roscher, Gernot",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,G.F. Unger,,Köln,Bastei Lübbe AG,2023,,,,,,,,ger,
,Gitt's denn suewos ...,,Gunzen,Verein Gunzen 1409 e.V.,2023,210,"Nürnberger, Margot",,,,,Anthologie; Gemischte Anthologien,ger,
,Halefs Erben in den Turmruinen von Babylon,2. Auflage,Hannover,Helmut Wein,2023,228,"Wein, Helmut",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Hermes-Statue,,Leipzig,Nadja Lanart,2023,1,"Lanart, Nadja",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,Höllenhammer,,Wien,Buchschmiede von Dataform Media GmbH,2023,,,,,"Maly, Patrick",,Fiktionale Darstellung; Fantasy,ger,
,Jubiläums-Sammelband - 70 Jahre Bastei,,Köln,Bastei Lübbe AG,2023,63,,,,,,,ger,
,Jubiläums-Sammelband - 70 Jahre Bastei,,Köln,Bastei Lübbe AG,2023,65,,,,,,,ger,
,Jubiläums-Sammelband - 70 Jahre Bastei,,Köln,Bastei Lübbe AG,2023,61,,,,,,,ger,
,Jubiläums-Sammelband - 70 Jahre Bastei,,Köln,Bastei Lübbe AG,2023,5,,,,,,Fiktionale Darstellung; Erzählende Literatur: Gegenwartsliteratur ab 1945,ger,
,Jubiläums-Sammelband - 70 Jahre Bastei,,Köln,Bastei Lübbe AG,2023,5,,,,,,Fiktionale Darstellung; Spannung,ger,
,Kleine Geschichten zur Weihnachtszeit,,Erftstadt,Rose-Marie Merten,2023,44,"Merten, Rose-Marie",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
,"Kling, Glöckchen, klinge-linge-ling ...",,Wetzlar,Phantastische Bibliothek,2023,75,,"Le Blanc, Thomas",,,,Anthologie; Erzählende Literatur: Anthologien,ger,
,Kürzestgeschichten,,Reutlingen,Lukas Böhl,2023,57,"Böhl, Lukas",,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
,Kurzgeschichten aus dem Leben,"2., geänderte Auflage",Bad Berleburg,M. B. Heinzelmann,2023,80,"Heinzelmann, Manfred B.",,,,,Anthologie; Erzählende Literatur: Anthologien,ger,
,Mahnmal des Todes,,Büdingen,Goblin-Press,2023,109,"Müller, Christopher",,,,"Müller, Christopher",Fiktionale Darstellung; Fantastische Literatur,ger,
,"Merry Christmas, Santa Claus!",,Buchholz,meer! Karin Buchholz,2023,49,"Buchholz, Karin",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
