"person_id","person_name","debut_year","debut_segment","age_at_debut","under_30"
"P4205","Fabich, Birgit",2008,"B",NULL,NULL
"P4206","Fabra, Nilo María",2020,"B",177,False
"P421","Anslinger, Winfried",2010,"B",59,False
"P4211","Fach, Kolja",2020,"B",22,True
"P4212","Fadel, Emil",2020,"B",28,True
"P4214","Fahlbusch, Christian",2018,"B",NULL,NULL
"P4215","Fahlbusch, Jürgen",2008,"B",NULL,NULL
"P4217","Fahn, Oliver",2023,"B",43,False
"P4218","Fahr, Hans Georg",2012,"B",NULL,NULL
"P4219","Fahrenbach, Roland Alexander",2016,"OP",23,True
"P4220","Fahrenkamp, Monika",2021,"B",NULL,NULL
"P4221","Fahrnholz, Herbert",2021,"B",NULL,NULL
"P4222","Fair x33, Zack oder L xD",2008,"OP",14,True
"P4223","Fairman, Paul W.",2021,"B",112,False
"P4225","Faistauer, Max",2016,"B",82,False
"P4227","Fakier, Noah",2021,"B",NULL,NULL
"P4228","Fakin, Bernhard",2019,"B",NULL,NULL
"P4229","Falaki, Mahmood",2014,"B",63,False
"P4230","Falakī, Maḥmūd",2018,"B",67,False
"P4231","Faldbakken, Matias",2020,"B",47,False
"P4232","Falk, Cara",2022,"B",NULL,NULL
"P4233","Falk, Gerhard",2008,"B",61,False
"P4234","Falk, Rita",2018,"B",54,False
"P4235","Falk, Susanne",2022,"B",46,False
"P4236","Falke, Matthias",2008,"B",38,False
"P4237","Falke, Tino",2020,"B",32,False
"P4238","Falkenhagen, Lena",2012,"B",39,False
"P4239","Falkenstein, Pit",2019,"B",85,False
"P424","Antares, Varia",2021,"B",NULL,NULL
"P4240","Fallada, Hans",2011,"B",118,False
"P4243","Fallwickl, Mareike",2021,"LZ",38,False
"P4244","Falscher, Felix",2009,"OP",17,True
"P4245","Falter, Hans-Günter",2020,"B",NULL,NULL
"P4248","Fang, Ooling",2008,"OP",14,True
"P4249","Fang, Vera",2023,"OP",NULL,NULL
"P425","Antari, Myska",2010,"OP",18,True
"P4252","Fanny, Fannyslittleplanet",2022,"OP",23,True
"P4254","Fanton, Hilarius",2010,"B",48,False
"P4255","Farkasch, Isabella",2016,"B",NULL,NULL
"P4256","Farkasova, Etela",2020,"B",NULL,NULL
"P4257","Farken, Celina",2020,"B",NULL,NULL
"P4258","Farley, Jamie L.",2017,"B",27,True
"P4259","Faro, Marlene",2009,"B",55,False
"P4260","Farr, Karl",2019,"B",65,False
"P4264","Fatah, Sherko",2008,"LZ",44,False
"P4265","Fatal, Falk",2020,"B",NULL,NULL
"P4266","Faunus, Luga",2022,"B",NULL,NULL
"P4267","Fauser, Jörg",2009,"B",65,False
"P4268","Faust, Eric Jan",2012,"B",44,False
"P4269","Faust, Helen",2020,"B",NULL,NULL
"P4270","Faust, Peter",2008,"B",62,False
"P4273","Faye, Neela",2016,"B",NULL,NULL
"P4274","Fayne, Tiffany",2012,"OP",16,True
"P4275","Fazal-Baqaie, Masud",2019,"B",NULL,NULL
"P4276","Faß, Dirk",2018,"B",63,False
"P4277","Faß, Julia",2020,"B",NULL,NULL
"P4279","Fc Bayern, Sunny",2012,"OP",16,True
"P4280","Feather, Ameliana Jocelynn",2014,"OP",23,True
"P4281","Featherkey, Tsubaki",2016,"OP",NULL,NULL
"P4282","Febel, Reinhard",2009,"B",57,False
"P4286","Feddersen, Peter",2022,"B",86,False
"P4287","Feder, Annette",2010,"B",NULL,NULL
