"literaturwettbewerb_name","veranstalter_names","erstausrichtung","laengenvorgabe_text","themenvorgabe","altersbeschraenkung","ausrichtungszyklus","preisart","hoehe_preisgeld","publikation","live_event"
"Literaturwettbewerb der Bürgerstiftung Düren","Bürgerstiftung Düren","2019","4-10 Seiten","ja","nein","keine Info","Preisgeld","100-300€","keine Info","ja"
"Literaturwettbewerb von Literaturpodium.de","Literaturpodium","mind. 2008","1-20 Seiten","ja","nein","keine Info","Publikation; Buchpreise; Sachpreise","/","ja","nein"
"Moerser-Literaturpreises ","Moerser Gesellschaft zur Förderung des literarischen Lebens e.V.","1998","1-5 Seiten","ja","mind. 16 Jahre alt","jährlich","Preisgeld","750-1500€","keine Info","ja"
"Mölltaler Geschichten Festival – Kurzgeschichtenwettbewerb","ProMÖLLTAL - Initiative für Bildung, Kultur, Wirtschaft und Tourismus","2016","750-1750 Zeichen","ja","mind. 14 Jahre alt (bezieht sich auf Kurzgeschichtenwettbewerb für Autor*innen; Altersgrenze für Kurzgeschichtenwettbewerb für Nachwuchsautor*innen: bis zum Ende der 8. Schulstufe, hier aber nur Nachwuchspreis in Form eines Bücherpakets!)","jährlich","Preisgeld; Buchpreise","100-1000€","ja","ja"
"nah und fern Literaturpreis ","Trägerverein Werkraum Abersee und Kulturhauptstadt 2024 Salzkammergut","2023","12000-20000","ja","Jugendpreis: 14 bis 19 Jahre; Kategorie Erwachsene: ab 20 Jahre","erstmals","Preisgeld","500-4000€","ja","ja"
"open mike - Wettbewerb für junge Literatur ","Haus für Poesie","1993","15 minütige Lesezeit","nein","unter 35","jährlich","Preisgeld; Publikation","7.500€ gesamt","ja","ja"
"Peng! Kurz-Krimi- Wettbewerb","Literaturhaus Salzburg","2009","0-15000 Zeichen","ja","18-28 Jahre","keine Info","Preisgeld","1000-2500€","keine Info","ja"
"Preis der Gruppe 48","Die Gruppe 48 e.V.","2016","8000-10000 Zeichen","nein","mind. 16 Jahre alt","jährlich","Preisgeld","1000-3000€","ja","ja"
"Schreib-Wettbewerb der SchreibRäume","Magazin SchreibRÄUME","2023","0-10000 Zeichen","ja","ab 18 Jahren","keine Info","Preisgeld; Publikation","100-300€","ja","keine Info"
"Schreibwettbewerb des Literaturhaus Zürich","Literaturhaus Zürich","2002","0-10000","ja","nein","monatlich","Auftritt; Publikation",NULL,"ja","ja"
"SCHREIBWETTBEWERB – Die Freiheit, die ich meine – Meinungsfreiheit","3. Oktober – Deutschland singt und klingt","2022","0-30000 Zeichen","ja","Kategorie 1: 16 bis 26 Jahre; Kategorie 2: ab 16 Jahre, Kategorie 3: Schüler*innen der Sekundärstufe",NULL,"Preisgeld; Reise; Publikation","250-1000€","ja","ja"
"Schreibwettbewerb für junge Menschen","Tübinger Buchhandlung Wekenmann unter der Schirmherrschaft von Dr. Daniela Hüttig, Erste Landesbeamtin, und in Kooperation mit der Tübinger Museumsgesellschaft","2004","1-5 Seiten","ja","16 bis 25 JAhre","jährlich","Publikation",NULL,"keine Info","ja"
"Schreibwettbewerb: „Triumph der Toleranz – Erfolgsgeschichten bei Meinungsverschiedenheiten“","zebra bw","2023","300-1700 Wörter","ja","nein","keine Info","Auszeichnung; Überraschungspaket",NULL,"ja","ja"
"Schreibwettbewerb „Über All“","LizzyNet gGmbH","2023","0-6000 Zeichen","ja","12-26 Jahre","ungefähr jährlich","Preisgeld; Sachpreise",NULL,"ja","ja"
