konsekr_id;jahr;preis;autor_name;person_id;buch
k172;2021;SL Deutscher Buchpreis;Gstrein, Norbert;P5920;Der zweite Jakob
k81;2006;Deutscher Buchpreis;Hacker, Katharina;P6189;Die Habenichtse
k173;2021;SL Deutscher Buchpreis;Helfer, Monika;P6795;Vati
k202;2001;Kleist-Preis;Hermann, Judith;P6963;
k82;2006;SL Deutscher Buchpreis;Hettche, Thomas;P7052;Woraus wir gemacht sind
k130;2014;SL Deutscher Buchpreis;Hettche, Thomas;P7052;Pfaueninsel
k168;2020;SL Deutscher Buchpreis;Hettche, Thomas;P7052;Herzfaden
k51;2002;Georg-Büchner-Preis;Hilbig, Wolfgang;P7117;
k61;2012;Georg-Büchner-Preis;Hoppe, Felicitas;P7444;
k59;2010;Georg-Büchner-Preis;Jirgl, Reinhard;P8054;
k125;2013;SL Deutscher Buchpreis;Jirgl, Reinhard;P8054;Nichts von euch auf Erden
k142;2016;SL Deutscher Buchpreis;Kaiser-Mühlecker, Reinhard;P8297;Fremde Seele, dunkler Wald
k58;2009;Georg-Büchner-Preis;Kappacher, Walter;P8382;
k4;1955;Georg-Büchner-Preis;Kaschnitz, Marie Luise;P8446;
k76;2005;SL Deutscher Buchpreis;Kehlmann, Daniel;P8537;Die Vermessung der Welt
k207;2006;Kleist-Preis;Kehlmann, Daniel;P8537;
k222;2022;Kleist-Preis;Kinsky, Esther;P8775;
k52;2003;Georg-Büchner-Preis;Kluge, Alexander;P9001;
k189;1985;Kleist-Preis;Kluge, Alexander;P9001;
k114;2011;SL Deutscher Buchpreis;Klüssendorf, Angelika;P9021;Das Mädchen
k131;2014;SL Deutscher Buchpreis;Klüssendorf, Angelika;P9021;April
k83;2006;SL Deutscher Buchpreis;Schulze, Ingo;P16145;Neue Leben
k196;1992;Kleist-Preis;Maron, Monika;P11274;
k98;2008;SL Deutscher Buchpreis;Schulze, Ingo;P16145;Adam und Evelyn
k74;2025;Georg-Büchner-Preis;Krechel, Ursula;P9447;
k117;2012;Deutscher Buchpreis;Krechel, Ursula;P9447;Landgericht
k2;1953;Georg-Büchner-Preis;Kreuder, Ernst;P9490;
k54;2005;Georg-Büchner-Preis;Kronauer, Brigitte;P9544;
k26;1977;Georg-Büchner-Preis;Kunze, Reiner;P9723;
k6;1957;Georg-Büchner-Preis;Kästner, Erich;P9818;
k89;2007;SL Deutscher Buchpreis;Köhlmeier, Michael;P9852;Abendland
k90;2007;SL Deutscher Buchpreis;Lange-Müller, Katja;P10121;Böse Schafe
k214;2013;Kleist-Preis;Lange-Müller, Katja;P10121;
k77;2005;SL Deutscher Buchpreis;Lehr, Thomas;P10322;42
k107;2010;SL Deutscher Buchpreis;Lehr, Thomas;P10322;September. Fata Morgana
k150;2017;SL Deutscher Buchpreis;Lehr, Thomas;P10322;Schlafende Sonne
k62;2013;Georg-Büchner-Preis;Lewitscharoff, Sibylle;P10480;
k115;2011;SL Deutscher Buchpreis;Lewitscharoff, Sibylle;P10480;Blumenberg
k212;2011;Kleist-Preis;Lewitscharoff, Sibylle;P10480;
k78;2005;SL Deutscher Buchpreis;Loschütz, Gert;P10762;Dunkle Gesellschaft
k138;2015;SL Deutscher Buchpreis;Mahlke, Inger-Maria;P11059;Wie Ihr wollt
k153;2018;Deutscher Buchpreis;Mahlke, Inger-Maria;P11059;Archipel
k133;2014;SL Deutscher Buchpreis;Melle, Thomas;P11628;3000 Euro
k144;2016;SL Deutscher Buchpreis;Melle, Thomas;P11628;Die Welt im Rücken
k147;2017;Deutscher Buchpreis;Menasse, Robert;P11641;Die Hauptstadt
k126;2013;SL Deutscher Buchpreis;Meyer, Clemens;P11736;Im Stein
k67;2018;Georg-Büchner-Preis;Mora, Terézia;P12004;
k123;2013;Deutscher Buchpreis;Mora, Terézia;P12004;Das Ungeheuer
k184;2023;SL Deutscher Buchpreis;Mora, Terézia;P12004;Muna oder Die Hälfte des Lebens
k56;2007;Georg-Büchner-Preis;Mosebach, Martin;P12060;
k91;2007;SL Deutscher Buchpreis;Mosebach, Martin;P12060;Der Mond und das Mädchen
k203;2002;Kleist-Preis;Mosebach, Martin;P12060;
k43;1994;Georg-Büchner-Preis;Muschg, Adolf;P12148;
k182;2022;SL Deutscher Buchpreis;Nickel, Eckhart;P12624;Spitzweg
k204;2003;Kleist-Preis;Ostermaier, Albert;P12997;
k139;2015;SL Deutscher Buchpreis;Peltzer, Ulrich;P13263;Das bessere Leben
k127;2013;SL Deutscher Buchpreis;Poschmann, Marion;P13685;Die Sonnenposition
k151;2017;SL Deutscher Buchpreis;Poschmann, Marion;P13685;Die Kieferninseln
k220;2019;Kleist-Preis;Rakusa, Ilma;P13990;
k219;2018;Kleist-Preis;Ransmayr, Christoph;P14023;
k216;2015;Kleist-Preis;Rinck, Monika;P14526;
k218;2017;Kleist-Preis;Rothmann, Ralf;P14799;
k157;2018;SL Deutscher Buchpreis;Röckel, Susanne;P14948;Der Vogelgott
k42;1993;Georg-Büchner-Preis;Rühmkorf, Peter;P15005;
k195;1991;Kleist-Preis;Salvatore, Gaston;P15113;
k176;2021;SL Deutscher Buchpreis;Sanyal, Mithu;P15169;Identitti
k145;2016;SL Deutscher Buchpreis;Schmidt, Eva;P15656;Ein langes Jahr
k99;2009;Deutscher Buchpreis;Schmidt, Kathrin;P15673;Du stirbst nicht
k32;1983;Georg-Büchner-Preis;Schnurre, Wolfdietrich;P15896;
k140;2015;SL Deutscher Buchpreis;Schwitter, Monique;P16322;Eins im Andern
k199;1996;Kleist-Preis;Schädlich, Hans Joachim;P16339;
