"koerperschaft_id","koerperschaft_name","koerperschaft_name_gnd","gnd_sachgruppe","name_flag","sachgruppe_flag","is_verlag_by_name","is_verlagsrelevant_by_sachgruppe","is_verlag_candidate","verlag_score"
"K19","A.P.P. Verlag","A.P.P. Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K20","A1 Verlag","A1-Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K21","A7L Thrilling Books Limited",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K22","AAVAA Verlag","AAVAA Verlag UG","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K23","AB - Die Andere Bibliothek","AB - Die Andere Bibliothek GmbH & Co. KG","Buchwissenschaft, Buchhandel","Unternehmen","verlagsrelevant",False,True,True,1
"K24","AB - Die Andere Bibliothek GmbH & Co. KG","AB - Die Andere Bibliothek GmbH & Co. KG","Buchwissenschaft, Buchhandel","Unternehmen","verlagsrelevant",False,True,True,1
"K25","AB, TravenBooks",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K26","AB1-Dr. & Verl.","AB1 - Druck & Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K27","ABLIT-Verl.","ABLIT Verlag e.K.","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K28","AGIRO Verlag","Agiro Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K29","AGMA - Christlicher Buchverl.","AGMA Christlicher Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K30","AIKA Consulting GmbH",NULL,NULL,"Unternehmen",NULL,False,False,False,0
"K31","AJSP","AJSP","Buchwissenschaft, Buchhandel",NULL,"verlagsrelevant",NULL,True,True,1
"K32","AJZ-Dr. & Verl.","AJZ-Druck und Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K33","AKU!","AKU-VERLAG","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K34","AME Stöpel","AME Stöpel Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K35","APOLLON TEMPEL VERLAG",NULL,NULL,"Verlag",NULL,True,False,True,1
"K36","APRYCOT",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K37","ARW","Arbeitsgemeinschaft für Religions- und Weltanschauungsfragen","Buchwissenschaft, Buchhandel; Allgemeine und vergleichende Religionswissenschaft, Nichtchristliche Religionen","Gemeinschaft","verlagsrelevant",False,True,True,1
"K38","AS Verlag","AS Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K39","AT-Verl.","AT Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K40","ATE","Ate",NULL,NULL,NULL,NULL,False,NULL,0
"K41","AUMAYER","Aumayer druck + media","Buchwissenschaft, Buchhandel","Druckerei","verlagsrelevant",False,True,True,1
"K42","AVM","Akademische Verlagsgemeinschaft München","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K43","Aaronis Coll.","Aaronis Collection","Buchwissenschaft, Buchhandel",NULL,"verlagsrelevant",NULL,True,True,1
"K44","Abera","Abera Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K45","Abl Verlag","Abl Bauernblatt Verlags-GmbH","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K46","Acabus Verlag","Acabus Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K47","Achertäler Druckerei","Achertäler Druckerei GmbH & Co. KG","Buchwissenschaft, Buchhandel","Druckerei","verlagsrelevant",False,True,True,1
"K48","Achter Verlag","Achter Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K49","Achterland","Achterland Verlagscompagnie","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K50","Adalbert-Stifter-Institut des Landes Oberösterreich / StifterHaus","Adalbert-Stifter-Institut des Landes Oberösterreich","Archiv, Museum; Literarisches Leben","Institut","verlagsrelevant",False,True,True,1
"K51","Adlerstein-Verlag","Adlerstein-Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K52","Adlibri-Verl.","adlibri Verlag GmbH & Co. KG","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K53","Adolf Dahlfeld Erben","Adolf Dahlfeld Erben","Buchwissenschaft, Buchhandel",NULL,"verlagsrelevant",NULL,True,True,1
"K54","Adonia","Adonia (Körperschaft)","Gruppe, Organisationssoziologie, Interaktion",NULL,NULL,NULL,False,NULL,0
"K55","Advent-Wohlfahrtswerk Seniorenheim Neandertal gmbH",NULL,NULL,"Unternehmen",NULL,False,False,False,0
"K56","Adwork Köln - Halven Hahn Produktion",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K57","Afra-Sonnensturm-Verl.","Afra Sonnensturm Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K58","AfricAvenir - Exchange & Dialogue","AfricAvenir - Exchange & Dialogue","Buchwissenschaft, Buchhandel",NULL,"verlagsrelevant",NULL,True,True,1
"K59","Afusoft","AFUSOFT Kommunikationstechnik GmbH","Buchwissenschaft, Buchhandel","Unternehmen","verlagsrelevant",False,True,True,1
"K60","Agade Publ. House",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K61","Agenda Verlag","Agenda-Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K62","Agentur des Rauhen Hauses Hamburg","Agentur des Rauhen Hauses Hamburg GmbH","Buchwissenschaft, Buchhandel","Unternehmen","verlagsrelevant",False,True,True,1
"K63","Agon-Sportverl.","AGON-Sportverlag (Kassel)","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K64","Agroplant","Agroplant GmbH - Umweltberatung -","Buchwissenschaft, Buchhandel","Unternehmen","verlagsrelevant",False,True,True,1
"K753","Ed. 6065","Edition 6065","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K2571","Soeste-Verl.",NULL,NULL,"Verlag",NULL,True,False,True,1
"K65","Ahead and Amazing","Ahead and Amazing Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K66","Aisthesis Verlag","AISTHESIS Verlag GmbH & Co. KG","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K68","Akademie der Künste","Akademie der Künste","Kultur, Künste allgemein; Buchwissenschaft, Buchhandel; Wissenschaft","Akademie","verlagsrelevant",False,True,True,1
"K69","Akademos","akademos Wissenschaftsverlag GmbH","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K70","Akazia Verlag","Akazia Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K71","Akazien Verlag","Akazien Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K72","Alba Trust","Alba Trust Verlag e.U. Inh. Adelheid Pexa","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K74","Alcorde Verlag","alcorde verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K75","Alea Libris Verlag",NULL,NULL,"Verlag",NULL,True,False,True,1
"K76","Aleph Verlag","ALEPH VERLAG","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K77","Alexander, Darleen",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K78","Alfa-Veda-Verlag","Alfa-Veda-Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K79","Alfred Kröner Verlag","Alfred-Kröner-Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K80","Ali Hensel",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K81","Alibri-Verl.",NULL,NULL,"Verlag",NULL,True,False,True,1
"K82","Alkyon-Buchverl.",NULL,NULL,"Verlag",NULL,True,False,True,1
"K83","Allegria","Allegria","Buchwissenschaft, Buchhandel",NULL,"verlagsrelevant",NULL,True,True,1
"K84","Allitera Verlag","Allitera Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K85","Almadinah gUG",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K86","Almanach-Ed.",NULL,NULL,"Verlag",NULL,True,False,True,1
"K87","Almus-Verl.",NULL,NULL,"Verlag",NULL,True,False,True,1
"K88","Almáriom","Almáriom Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K89","Alois Epple","Dr. Alois Epple (Firma)","Buchwissenschaft, Buchhandel","Unternehmen","verlagsrelevant",False,True,True,1
"K90","Alpenpost Verl.",NULL,NULL,"Verlag",NULL,True,False,True,1
"K91","Alpha Litart",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K92","Alphabeta","AlphaBeta",NULL,NULL,NULL,NULL,False,NULL,0
"K93","Altan","Altan","Musik (Allgemeines), Musikgeschichte",NULL,NULL,NULL,False,NULL,0
"K94","Alte-Jeetzel-Buchh. und Verl.","Alte-Jeetzel-Buchhandlung und Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K95","Altis-Verlag","Altis-Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K96","Altius","Altius Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K97","Amalthea","Amalthea Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K98","Amalthea Signum","Amalthea Signum Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K99","Amative Publ.***5246918","amative publisher","Buchwissenschaft, Buchhandel",NULL,"verlagsrelevant",NULL,True,True,1
"K100","Amazon Distribution",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K101","Amazon Media EU S.à r.l.",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K102","Ambaum-Verl.","Ambaum Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K103","Ambiente-Krimis","ambiente-krimis","Buchwissenschaft, Buchhandel",NULL,"verlagsrelevant",NULL,True,True,1
"K104","Amdora-Verlag",NULL,NULL,"Verlag",NULL,True,False,True,1
"K105","Amicus","Amicus",NULL,NULL,NULL,NULL,False,NULL,0
"K106","Ammann","Ammann-Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K107","Ammersee Verlag",NULL,NULL,"Verlag",NULL,True,False,True,1
"K108","Ammianus-Verlag",NULL,NULL,"Verlag",NULL,True,False,True,1
"K109","Amonja Publishing",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K110","Amrûn Verlag","Amrûn Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K111","Amrûn-Verl.","Amrûn Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K112","AnOA edition",NULL,NULL,"Verlag",NULL,True,False,True,1
"K113","Anaconda Verlag","Anaconda Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K114","Ancient Mail Verlag Werner Betz","Ancient Mail Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K115","Anderland Books",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K116","Anderslieben Verlag Heckmann & Meinzer",NULL,NULL,"Verlag",NULL,True,False,True,1
"K117","Andiamo","andiamo-verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K118","Andra-Danu-Verl.","Andra-Danu-Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K119","AndreBuch-Verl.","AndreBuchVerlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K120","AndreBuchVerlag","AndreBuchVerlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K121","Andres",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K122","Andresen",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K123","Angele","Angele-Sippe",NULL,NULL,NULL,NULL,False,NULL,0
"K124","Angelika Lenz Verlag","Angelika Lenz Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K125","Angst & Schrecken","Angst&Schrecken Verlag e.K.","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K126","Anikkänbrö & Knetemelk","Anikkänbrö & Knetemelk","Buchwissenschaft, Buchhandel",NULL,"verlagsrelevant",NULL,True,True,1
"K127","Ankerherz","Ankerherz Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K128","Anno-Verlag","Anno-Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K129","Ansichtssache - Agentur für Gestaltung",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K130","Anthea-Verlag",NULL,NULL,"Verlag",NULL,True,False,True,1
"K131","Anton H. Konrad Verlag","Anton-H.-Konrad-Verlag (Weißenhorn)","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K132","Anuschka Weyand Buchverlag","Anuschka Weyand (Firma)","Buchwissenschaft, Buchhandel","Unternehmen","verlagsrelevant",False,True,True,1
"K133","Aphaia-Verl.","Aphaia-Verlag (Berlin)","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Verlag","verlagsrelevant",True,True,True,2
"K194","Attoverl.","Attoverlag Hans Gerlach e.K.","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K134","AphorismA","AphorismA Verlag Antiquariat Agentur Mit angeschl. Versandbuchhandlung gGmbH","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K136","Apollon-Verl.",NULL,NULL,"Verlag",NULL,True,False,True,1
"K137","Appenzeller Verlag","Appenzeller Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K138","Appenzeller Volksfreund","Druckerei Appenzeller Volksfreund","Buchwissenschaft, Buchhandel","Druckerei","verlagsrelevant",False,True,True,1
"K139","April G. Dark c/o Gabriela Schmid",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K140","Aquensis","Cappella Aquensis","Musik (Allgemeines), Musikgeschichte",NULL,NULL,NULL,False,NULL,0
"K141","Arachne Verlag","Arachne Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K142","Arbeitsgemeinschaft Selbstständiger Migranten e.V.","Arbeitsgemeinschaft Selbstständiger Migranten e.V.","Bevölkerung, Sozialstruktur, Soziale Situation, Soziale Bewegungen; Arbeit","Verein",NULL,False,False,False,0
"K143","Arbeitskreis der Gleichstellungsbeauftragten des Märkischen Kreises, Arbeitskreis der Gleichstellungsbeauftragten des Märkischen",NULL,NULL,"Gemeinschaft",NULL,False,False,False,0
"K144","Arbeitskreis für Dorfentwicklung und Heimatpflege","Arbeitskreis für Dorfentwicklung und Heimatpflege",NULL,"Gemeinschaft",NULL,False,False,False,0
"K145","Arcanum Fantasy Verlag","Arcanum Fantasy Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K146","Arche","Arche Literatur Verlag","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K147","Archipel","Archipel Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K148","Arco","Arco Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K149","Arcos-Verl.","Arcos Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K150","Ardey-Verlag","Ardey-Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K151","Arete-Verl.","Arete Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K152","Argument Verlag","Argument-Verlag (Hamburg)","Einzelne Branchen der Industrie und des Handwerks","Verlag",NULL,True,False,True,1
"K153","Arkade",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K154","Arkani Verlag",NULL,NULL,"Verlag",NULL,True,False,True,1
"K155","Armin-T-Wegner-Ges.","Armin-T.-Wegner-Gesellschaft",NULL,"Gemeinschaft",NULL,False,False,False,0
"K156","Arnshaugk","Arnshaugk Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K157","Arovell Verlag","AROVELL Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K158","Ars Edition","arsEdition","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Verlag","verlagsrelevant",True,True,True,2
"K159","Ars Una","ars una Verlagsgesellschaft mbH","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K160","Ars Vivendi","ars vivendi verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K161","Ars et Unitas","ars et unitas Verlagsgesellschaft mbH","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K162","Art In Flow","Art In Flow, Verlag für Zeitgenössische Kunst","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K163","Art Skript Phantastik","Art Skript Phantastik Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K164","ArteMedia","ARTEMEDIA Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K165","Artemis & Winkler","Artemis & Winkler",NULL,NULL,NULL,NULL,False,NULL,0
"K166","Artemis und Winkler","Artemis & Winkler",NULL,NULL,NULL,NULL,False,NULL,0
"K167","Artio Wortkunstverlag","Artio Wortkunstverlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K168","Artpress",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K169","Arunya-Verlag","Arunya-Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K170","Asaro Verlag","Asaro Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K171","Aschenbeck-Verl.",NULL,NULL,"Verlag",NULL,True,False,True,1
"K172","Aschendorff Verlag","Aschendorffsche Verlagsbuchhandlung","Buchwissenschaft, Buchhandel; Handel einzelner Branchen, Dienstleistung einzelner Branchen; Papierherstellung, Grafische Technik; Einzelne Branchen der Industrie und des Handwerks","Verlag","verlagsrelevant",True,True,True,2
"K173","Ashera Verlag",NULL,NULL,"Verlag",NULL,True,False,True,1
"K174","Askan - Familienforschung & Heimatkunde, Bärbel und Beatrice Barnehl GbR",NULL,NULL,"Unternehmen",NULL,False,False,False,0
"K175","Asmussen",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K176","Asoka",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K177","Aspera* Verlag für Kunst, Kultur und Hoffnung",NULL,NULL,"Verlag",NULL,True,False,True,1
"K178","Asphalt-&-Anders-Verl.","asphalt & anders Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K179","Astrid Verlag",NULL,NULL,"Verlag",NULL,True,False,True,1
"K180","Atelier & Verlag Reinhard Fritz",NULL,NULL,"Verlag",NULL,True,False,True,1
"K181","Atelier Coaching & Training",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K182","Atelier Colorwaves",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K183","Atelier Margits Art",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K184","Atelier Monika Stocker",NULL,NULL,NULL,NULL,NULL,False,NULL,0
"K185","Athena-Verlag","Athena-Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K186","Athene Media","Athene Media Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K187","Athesia Verlag","Athesia Tappeiner Verlag",NULL,"Verlag",NULL,True,False,True,1
"K188","Atlantik Verlag","Atlantik Verlag","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K189","Atlantis","Atlantis Verlag (Stolberg (Rhld.))","Buchwissenschaft, Buchhandel","Verlag","verlagsrelevant",True,True,True,2
"K190","Aton","Aton-Saxophonquartett","Musik (Allgemeines), Musikgeschichte",NULL,NULL,NULL,False,NULL,0
