"person_id","person_name","objekt_typ","rolle","objekt_id","publikationsjahr"
"P5208","Gerhards, Magdlen","Buch","VerfasserIn Buch","9783944370941",2019
"P6563","Heckmann, Sylvia M.","Buch","VerfasserIn Buch","9783757507299",2023
"P17588","Synold, Friedrich Heinrich","Buch","Unklare Rolle Buch","9783752633818",2020
"P18535","Vonlanthen, Isabelle","Literaturwettbewerb Ausgabe","Jurymitglied","WA137",2014
"P7239","Hofmann, Julia","Buch","Sonstige Rolle Buch","9783944382937",2017
"P3715","Edition 8","Buch","VerlegerIn Buch","9783859901643",2011
"P18155","Turovski, Jan","Buch","VerfasserIn Buch","9783757898878",2023
"P10685","Loß, Stefan","Buch","HerausgeberIn Buch","9783765543883",2023
"P5356","Gloggengießer, Christian","Buch","VerfasserIn Buch","9783754314173",2021
"P17484","Stöger, Christina","Buch","Sonstige Rolle Buch","9783944284026",2013
"P7094","Hinsberger, G.","Buch","Sonstige Rolle Buch","9783981430486",2013
"P639","B., Burkhard","Buch","VerfasserIn Buch","9783949054129",2023
"P18160","Tuttlies, Frauke","Buch","VerfasserIn Buch","9783935259668",2011
"P19437","Winkels, Hubert","Literaturwettbewerb Ausgabe","Jurymitglied","WA11",2018
"P7453","Huchler, Bettina","Buch","HerausgeberIn Buch","9783939610809",2014
"P9989","Lang, Sibylle","Buch","VerfasserIn Buch","9783991262268",2023
"P961","Baumgart-Fütterer, Ingrid","Buch","VerfasserIn Buch","9783756220939",2022
"P19351","Wiles, Simona","Buch","VerfasserIn Buch","9783750714717",2022
"P7944","Jennerjahn-Hakenes, Birgit","Buch","VerfasserIn Buch","9783347463813",2022
"P3453","Dragosits, Martin","Buch","VerfasserIn Buch","9783948574086",2023
"P2391","Butterfield, Karla J.","Buch","Sonstige Rolle Buch","9783942802383",2011
"P5590","Greif, Hans-Jürgen","Buch","VerfasserIn Buch","9783833310331",2015
"P7917","Jarosz, Adam","Buch","VerfasserIn Buch","9783838203164",2011
"P20297","utzverlag","Buch","Unklare Rolle Buch","9783831618842",2015
"P15921","Schulthesss, Leonora","Literaturwettbewerb Ausgabe","Jurymitglied","WA201",2019
"P8970","Knoll, Ursula","Buch","VerfasserIn Buch","9783347722866",2022
"P15300","Schimmel, Nina","Buch","HerausgeberIn Buch","9783943084429",2017
"P7207","Hoffmann, Holger","Buch","VerfasserIn Buch","9783957201607",2016
"P9001","Koch, Gottfried","Buch","VerfasserIn Buch","9783954863952",2013
"P7595","Höfler, Maria Magdalena","Buch","VerfasserIn Buch","9783708405872",2016
"P8824","Kleinherne, Michael","Buch","HerausgeberIn Buch","9783944000053",2013
"P8619","Kiefer, Claudia","Buch","HerausgeberIn Buch","9783884236390",2020
"P8303","Kapp, Dieter B.","Buch","VerfasserIn Buch","9783844071641",2020
"P17273","Stoll, Beatrice","Literaturwettbewerb Ausgabe","Jurymitglied","WA120",2012
"P19351","Wiles, Simona","Buch","VerfasserIn Buch","9783966417860",2020
"P12355","Neid, Meikel","Buch","VerfasserIn Buch","9783864608995",2018
"P14465","Rola, Beate","Buch","VerfasserIn Buch","9783959591447",2019
"P8478","Keller, Hildegard Elisabeth","Literaturwettbewerb Ausgabe","Jurymitglied","WA10",2017
"P18204","Ueckert, Charlotte","Buch","Sonstige Rolle Buch","9783941905474",2022
"P15480","Schmidt, Fritz Otto","Buch","VerfasserIn Buch","9783868062564",2011
"P57","Abdullayev, Vugar","Buch","Unklare Rolle Buch","9783710345999",2020
"P15148","Schaude, Friedrich","Buch","VerfasserIn Buch","9783864688966",2015
"P483","Arenz, Ewald","Buch","VerfasserIn Buch","9783747204351",2022
"P9322","Krause, Roland","Literaturwettbewerb Ausgabe","GewinnerIn","WA20",2010
"P16109","Schweizer, Stefanie","Buch","Sonstige Rolle Buch","9783942637701",2015
"P7253","Hofmann, Teresa","Buch","VerfasserIn Buch","9783862827633",2020
"P9474","Kruppa, Hans","Buch","VerfasserIn Buch","9783649640035",2021
"P15648","Schneider, Gesa","Literaturwettbewerb Ausgabe","Jurymitglied","WA227",2021
"P12056","Möbis, Carolina","Buch","VerfasserIn Buch","9783963318603",2023
"P4703","Freyberg, Susan","Buch","Sonstige Rolle Buch","9783942229425",2011
"P4196","Fattori, Anna","Buch","HerausgeberIn Buch","9783034012775",2015
"P5498","Graf, Mia","Buch","VerlegerIn Buch","9783384026620",2023
"P9235","Kraeft, Uwe","Buch","VerfasserIn Buch","9783868587463",2012
"P1520","Bionda, Alisha","Buch","HerausgeberIn Buch","9783946773092",2018
"P10409","Liebelt, Volker","Buch","Sonstige Rolle Buch","9783957200716",2015
"P9227","Kozakova, Slata","Buch","HerausgeberIn Buch","9783942901260",2017
"P12882","Otto, Mario","Buch","HerausgeberIn Buch","9783746760599",2018
"P17124","Steinke, Annika","Buch","HerausgeberIn Buch","9783757566500",2023
"P17072","Stein, Katharina","Buch","Sonstige Rolle Buch","9783957200709",2015
"P14411","Rochholz, Marco","Buch","VerfasserIn Buch","9783000774638",2023
"P15036","Sauvant, Jochen","Buch","VerfasserIn Buch","9783939829133",2010
"P18484","Vogt, Pit","Buch","VerfasserIn Buch","9783756898084",2023
"P20058","Zochow, Michael","Buch","VerfasserIn Buch","9783857362583",2009
"P19503","Wipfler, Peter","Buch","Unklare Rolle Buch","9783749431175",2019
"P6349","Hardwiger, Nadin","Buch","Sonstige Rolle Buch","9783981648133",2015
"P1292","Berger, Charles R.","Buch","VerfasserIn Buch","9783949054129",2023
"P17769","Teufl-Heimhilcher, Brigitte","Buch","VerfasserIn Buch","9783754339299",2021
"P18536","Voosen, Jana","Buch","VerfasserIn Buch","9783956741623",2014
"P2008","Brechbühl, Beat","Buch","VerfasserIn Buch","9783719314958",2008
"P13281","Pfohl, Gisela","Buch","Sonstige Rolle Buch","9783938812358",2018
"P1520","Bionda, Alisha","Buch","HerausgeberIn Buch","9783948592950",2022
"P17029","Steffen, Antje","Buch","Sonstige Rolle Buch","9783942229364",2011
