"koerperschaft_name","koerperschaft_name_gnd","gnd_sachgruppe","name_flag"
"Ars et Unitas","ars et unitas Verlagsgesellschaft mbH","Buchwissenschaft, Buchhandel","Verlag"
"Art In Flow","Art In Flow, Verlag für Zeitgenössische Kunst","Buchwissenschaft, Buchhandel","Verlag"
"Art Skript Phantastik","Art Skript Phantastik Verlag","Buchwissenschaft, Buchhandel","Verlag"
"ArteMedia","ARTEMEDIA Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Artio Wortkunstverlag","Artio Wortkunstverlag","Buchwissenschaft, Buchhandel","Verlag"
"Arunya-Verlag","Arunya-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Asaro Verlag","Asaro Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Aschendorff Verlag","Aschendorffsche Verlagsbuchhandlung","Buchwissenschaft, Buchhandel; Handel einzelner Branchen, Dienstleistung einzelner Branchen; Papierherstellung, Grafische Technik; Einzelne Branchen der Industrie und des Handwerks","Verlag"
"Asphalt-&-Anders-Verl.","asphalt & anders Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Athena-Verlag","Athena-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Athene Media","Athene Media Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Atlantik Verlag","Atlantik Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Atlantis","Atlantis Verlag (Stolberg (Rhld.))","Buchwissenschaft, Buchhandel","Verlag"
"Atrioc-Verl.","Atrioc-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Atrium Verlag","Atrium Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Aufbau Verlag","Aufbau-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Aufland-Verl.","Aufland Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Augen Auf Verlag","Augen Auf Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Aumayer","Aumayer druck + media","Buchwissenschaft, Buchhandel","Druckerei"
"Aurinia","Edition Aurinia Verlag für Hörbücher und Literatur e.K.","Buchwissenschaft, Buchhandel","Verlag"
"Auslesen-Verl.","Auslesen-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Aussaat","Neukirchener Aussaat","Buchwissenschaft, Buchhandel",NULL
"Authal-Verl.","Authal Verlag Dr. Karin Halbritter","Buchwissenschaft, Buchhandel","Verlag"
"Autoren-Feder-Verl.","Autoren-Feder Verlag e.K.","Buchwissenschaft, Buchhandel","Verlag"
"Autumnus Verlag","Autumnus Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Avanti-Verl.","Avanti-Verlag (Neuenburg, Müllheim)","Buchwissenschaft, Buchhandel","Verlag"
"Avinus","Avinus-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"AvivA","AvivA Britta Jürgs GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Axiomy Verlag","Axiomy Verlag","Buchwissenschaft, Buchhandel","Verlag"
"B. Kühlen Verlag","B. Kühlen Verlag","Buchwissenschaft, Buchhandel","Verlag"
"BACOPA VERLAG","Bacopa Handels- & Kulturges.m.b.H.","Buchwissenschaft, Buchhandel","Unternehmen"
"BC Publications","BC Publications GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"BELLA triste e.V.","BELLA triste e.V.","Buchwissenschaft, Buchhandel","Verein"
"BOOKSun-Limited","BOOKSUN Limited Niederlassung Deutschland","Buchwissenschaft, Buchhandel",NULL
"BS Verlag Rostock","BS-Verlag Rostock","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Verlag"
"BS motor Vertriebs und Verlags GmbH","BS Motor Vertriebs und Verlags GmbH","Buchwissenschaft, Buchhandel","Verlag"
"BVK, Buch-Verl. Kempen","BVK Buch Verlag Kempen GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Baaltis Austria","Autorenverlag Baaltis Austria","Buchwissenschaft, Buchhandel","Verlag"
"Bachem, J. P., Verlag GmbH","J. P. Bachem, Verlagsbuchhandlung (Köln)","Buchwissenschaft, Buchhandel","Verlag"
"Bacopa Verlag","Bacopa Handels- & Kulturges.m.b.H.","Buchwissenschaft, Buchhandel","Unternehmen"
"BadnerBuch-Verl.","BadnerBuch-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Baeschlin Verlag","Baeschlin Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Bahnmayer","BAHNMAYER GmbH DRUCK + REPRO","Buchwissenschaft, Buchhandel","Druckerei"
"Balaena-Verlag","Balaena-Verlag Dr. Heinz Granvogl e.K.","Buchwissenschaft, Buchhandel","Verlag"
"Balthasar-Verl.","Balthasar Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Bar-Verlag","BAR-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Bartlmüllner","Bartlmüllner Verlag","Buchwissenschaft, Buchhandel","Verlag"
"BasisDruck Verlag","BasisDruck Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Bassermann","Bassermann-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Bastei Lübbe","Bastei Lübbe AG","Buchwissenschaft, Buchhandel",NULL
"Bauer","Bauer-Verlag (Thalhofen)","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Verlag"
"Bauer-Verlag","Bauer-Verlag (Thalhofen)","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Verlag"
"Bayer Verlag","Bayer Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Bayerland","Druckerei und Verlagsanstalt Bayerland GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Be.bra-Verl.","be.bra verlag","Buchwissenschaft, Buchhandel","Verlag"
"BeJot","BeJot-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Beck","Verlag C.H. Beck","Buchwissenschaft, Buchhandel","Verlag"
"Begedia Verlag","Begedia Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Beggerow","Beggerow Buchverlag","Buchwissenschaft, Buchhandel","Verlag"
"Belletris-Verl.","Belletris-Verlag","Buchwissenschaft, Buchhandel","Verlag"
