"koerperschaft_name","koerperschaft_name_gnd","gnd_sachgruppe","name_flag"
"CMS Verlagsgesellschaft","CMS Verlagsgesellschaft","Buchwissenschaft, Buchhandel","Verlag"
"CMZ","CMZ-Verlag und Versandbuchhandlung Winrich C.-W. Clasen","Buchwissenschaft, Buchhandel","Verlag"
"CSV, Verl. Christliche Schriftenverbreitung","Christliche Schriftenverbreitung e.V.","Buchwissenschaft, Buchhandel","Verein"
"CW Niemeyer Buchverlag GmbH","CW Niemeyer Buchverlage GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Calambac Verlag","Calambac Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Callwey","Callwey GmbH","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks","Unternehmen"
"Calvendo Verlag GmbH","Calvendo Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Caput Musikverlag","Caput Musikverlag Jena","Buchwissenschaft, Buchhandel","Verlag"
"Cardamina-Verl. Breuel","Cardamina Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Care-Line","Care-Line Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Carl Hanser Verlag","Carl Hanser Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Carl Schünemann Verlag","Carl Ed. Schünemann KG","Einzelne Branchen der Industrie und des Handwerks; Papierherstellung, Grafische Technik; Buchwissenschaft, Buchhandel","Verlag"
"Carl-Auer Verlag GmbH","Carl-Auer-Systeme Verlag und Verlagsbuchhandlung GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Carow Verlag","Carow Verlag Gruppe","Buchwissenschaft, Buchhandel","Verlag"
"Celtic Rose","Celtic Rose Verlag Weinmann KG","Buchwissenschaft, Buchhandel","Verlag"
"Cenarius","cenarius Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Chaotic-Revelry-Verl.","Chaotic Revelry Verlag e.K.","Buchwissenschaft, Buchhandel","Verlag"
"Charles Verlag","Charles-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Chasa Editura Rumantscha","Chasa Editura Rumantscha","Buchwissenschaft, Buchhandel",NULL
"Chawila","Chawila Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Chiliverlag","chiliverlag","Buchwissenschaft, Buchhandel","Verlag"
"Christliche Schriftenverbreitung","Christliche Schriftenverbreitung e.V.","Buchwissenschaft, Buchhandel","Verein"
"Christliche Verlagsgesellschaft","Christliche Verlagsgesellschaft mbH","Buchwissenschaft, Buchhandel","Verlag"
"Christoph Merian Verlag","Christoph Merian Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Chronos","Chronos Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Civitas Imperii Verlag","Ben Berg - Civitas Imperii Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Claassen","Claassen Verlag","Buchwissenschaft, Buchhandel","Verlag"
"ClauS-Verl.","ClauS Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Club der Sinne","Club der Sinne","Buchwissenschaft, Buchhandel","Gemeinschaft"
"CoCon-Verlag GmbH","CoCon-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Codi-Verl.","CODI Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Cogitare Verlag","Peter Kusel Cogitare Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Colorama","Colorama Verlagsgesellschaft mbH","Buchwissenschaft, Buchhandel","Verlag"
"Compact","Compact Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Con-Text, Bronisch","Con-Text","Buchwissenschaft, Buchhandel",NULL
"Conabru-Verl.","Conabru Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Concepcion Seidel OHG","concepcion Seidel oHG","Buchwissenschaft, Buchhandel","Unternehmen"
"Conte Verlag","CONTE Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Contessa-Verl.","Contessa Verlag Wilfrid Lutz","Buchwissenschaft, Buchhandel","Verlag"
"Cool-Verl.","Cool Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Copy-us-Verl.-GmbH","copy-us Verlags GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Cornelsen","Cornelsen Verlag GmbH & Co.","Buchwissenschaft, Buchhandel","Verlag"
"Corso","Corso","Buchwissenschaft, Buchhandel",NULL
"Cortex Unit","Cortex Unit e.K.","Buchwissenschaft, Buchhandel","Unternehmen"
"Cosmos Verlag","Cosmos Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Crago-Verl.","Crago-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Creastro Verlag","Creastro-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Cross Cult","Cross Cult (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Culex-Verl.","Culex Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Cupido Books","Cupido Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Cuvillier","Eric Cuvillier (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Cyber Publishing e-Verlag GmbH","Cyber Publishing e-Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Czernin Verlag","Czernin Verlag","Buchwissenschaft, Buchhandel","Verlag"
"DEMMLER VERLAG","Demmler Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"DIWAN","Diwan Verlag","Buchwissenschaft, Buchhandel","Verlag"
"DIWAN Verlag","Diwan Verlag","Buchwissenschaft, Buchhandel","Verlag"
"DOBU-Verl.","DOBU-Verlag e.K.","Buchwissenschaft, Buchhandel","Verlag"
"DRP Rosenkreuz Verlag","DRP Rosenkreuz Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"DRW-Verl. Weinbrenner, Braun","DRW-Verlag Weinbrenner","Buchwissenschaft, Buchhandel","Verlag"
"Dabbelju-Verl.","Verlag Dabbelju","Buchwissenschaft, Buchhandel","Verlag"
"Daedalus Verlag","Daedalus Verlag Joachim Herbst","Buchwissenschaft, Buchhandel","Verlag"
"Dahlemer Verl.-Anst.","dahlemer verlagsanstalt","Buchwissenschaft, Buchhandel","Verlag"
"Daidalos DruckWerke","Daidalos DruckWerke","Buchwissenschaft, Buchhandel","Druckerei"
"Das Erotische Sekretariat","Cosar, Sascha, u. Alexandra Gentara. Das erotische Sekretariat","Buchwissenschaft, Buchhandel",NULL
"Db-Verl.","db-verlag","Buchwissenschaft, Buchhandel","Verlag"
"De Gruyter","Walter de Gruyter GmbH & Co. KG","Buchwissenschaft, Buchhandel","Unternehmen"
"DeBehr","Verlag DeBehr","Buchwissenschaft, Buchhandel","Verlag"
"Dead-Soft-Verl.","Dead Soft Verlag e. K.","Buchwissenschaft, Buchhandel","Verlag"
"Debras-Verl.","Debras Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Deltus","Deltus.de","Buchwissenschaft, Buchhandel",NULL
"Dendron","Atelier und Editions Dendron","Buchwissenschaft, Buchhandel","Verlag"
"Denkmayr","Denkmayr Druck & Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Der Fabrik Verlag","DER FABRIK VERLAG GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Der Kleine Buch-Verlag","Der Kleine Buch Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Der Neue Morgen","Verlag Der Neue Morgen UG & Co. KG","Buchwissenschaft, Buchhandel","Verlag"
"Der Starke Verl.","Der Starke Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Der Verlag Dr. Snizek","Der Verlag Dr. Snizek e.U.","Buchwissenschaft, Buchhandel","Verlag"
"Der Wolf Verlag","der wolf verlag & agentur","Buchwissenschaft, Buchhandel","Verlag"
"Der gesunde Menschenversand GmbH","Der Gesunde Menschenversand GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Derk Janßen Verlag","Derk Janßen (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Design Pavoni Verlag","Design Pavoni Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Deuticke","Deuticke Verlag in Paul Zsolnay Verlag Ges.m.b.H.","Buchwissenschaft, Buchhandel","Verlag"
"Deutsche Literaturgesellschaft","Deutsche Literaturgesellschaft","Buchwissenschaft, Buchhandel","Gemeinschaft"
"Deutsche Verlags-Anstalt","Deutsche Verlags-Anstalt","Buchwissenschaft, Buchhandel","Verlag"
"Deutscher Taschenbuch Verlag","Deutscher Taschenbuch-Verlag (München)","Buchwissenschaft, Buchhandel","Verlag"
"Deutscher Theaterverlag","Deutscher Theaterverlag","Buchwissenschaft, Buchhandel","Verlag"
"Dialog-Edition","Verlag Dialog-Edition","Buchwissenschaft, Buchhandel","Verlag"
"Dialogverlag","Dialogverlag Presse- und Medien Service GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Diana TB","Diana TB","Buchwissenschaft, Buchhandel",NULL
"Diana-Verl.","Diana Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Diaphanes","Diaphanes","Buchwissenschaft, Buchhandel",NULL
"Ed. Andrann","Edition Andrann Elke Hahn","Buchwissenschaft, Buchhandel","Verlag"
"DichterSchreibenverl.","dichterSchreibenverlag","Buchwissenschaft, Buchhandel","Verlag"
"Die Andere Bibliothek","AB - Die Andere Bibliothek GmbH & Co. KG","Buchwissenschaft, Buchhandel","Unternehmen"
"Die Provinz GmbH – Kulturprojekte","Die Provinz GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Diederichs","Eugen Diederichs Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Dielmann","Axel Dielmann Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Digitalreprint","digitalreprint GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Diogenes","Diogenes Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Diotima Verlag","Diotima Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Dirk-Laker-Verlag","Dirk Laker (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Distillery","Distillery","Buchwissenschaft, Buchhandel",NULL
"Dittrich","Dittrich Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Docupoint-Verlag","docupoint GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Dominoplan","DominoPlan (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Domowina-Verlag","Domowina-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Donat Verlag","Helmut Donat Freiherr von Bothmer Donat Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Donauschwäbische Kulturstiftung","Donauschwäbische Kulturstiftung","Buchwissenschaft, Buchhandel; Kultur, Künste allgemein",NULL
"Donny-Stieven-Verl.","Donny Stieven Verlag","Buchwissenschaft, Buchhandel","Verlag"
"DoplPack","Doplpack Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Dorise Verlag","Dorise Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Dortmund Verlag","Dortmund-Verlag.de","Buchwissenschaft, Buchhandel","Verlag"
"Dortmunder Buch","Dortmunder Buch Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Dosse-Verl.","Dosse Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Dr. Ziethen Verlag","Dr. Harry Ziethen (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Drachenhaus Verlag","Drachenhaus Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Drachenmond Verlag","Drachenmond Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Draksal Fachverlag GmbH","Draksal Fachverlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Draupadi Verlag","Draupadi Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Draupadi-Verl.","Draupadi Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Draupadi-Verlag","Draupadi Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Drava Verlag","Drava Verlag - Založba Drava GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Dreambook-Verl.","Dreambook Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Drei Birken Verlag","Drei Birken Verlag Charlotte Berger","Buchwissenschaft, Buchhandel","Verlag"
"Drei Kastanien Verlag","Drei Kastanien Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Drei-Punkte-Verlag","Drei-Punkte-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Dresdner Verlag","Dresdner Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Drey-Verl.","Drey-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Driesch Verlag","Driesch Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Droemer","Droemer Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Droemer Knaur","Verlagsgruppe Droemer Knaur","Buchwissenschaft, Buchhandel","Verlag"
"Droemer Taschenbuch","Droemer Taschenbuch","Buchwissenschaft, Buchhandel",NULL
"Dromos-Verl.","DROMOS Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Druck-Team","DRUCK-TEAM DRUCKGESELLSCHAFT MBH","Buchwissenschaft, Buchhandel","Druckerei"
"Druckerpresse-Verlag UG","Druckerpresse-Verlag UG","Buchwissenschaft, Buchhandel","Verlag"
"Druckmedienzentrum","Druckmedienzentrum Gotha","Buchwissenschaft, Buchhandel","Druckerei"
"Druckwerkstatt-Kollektiv-Verl.","Druckwerkstatt Kollektiv GmbH","Buchwissenschaft, Buchhandel","Druckerei"
"Dryas-Verl.","Dryas Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Dt. Taschenbuch-Verl. 5106842","Deutscher Taschenbuch-Verlag (München)","Buchwissenschaft, Buchhandel","Verlag"
"DuMont","DuMont Mediengruppe","Presse; Buchwissenschaft, Buchhandel; Rundfunk, Neue Medien","Gemeinschaft"
"DuMont Buchverlag","DuMont-Buchverlag (Köln)","Buchwissenschaft, Buchhandel","Verlag"
"Duensing","Marcus Duensing (Firma)","Buchwissenschaft, Buchhandel","Unternehmen"
"Duktus-Verl.","Duktus-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Duncker & Humblot","Duncker & Humblot","Buchwissenschaft, Buchhandel",NULL
"Dup","Düsseldorf University Press","Buchwissenschaft, Buchhandel",NULL
"Durchblick-Siegen Information und Medien","Durchblick Siegen - Information und Medien e.V.","Buchwissenschaft, Buchhandel","Verein"
"Dörfler","Dörfler Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Dörlemann","Dörlemann Verlag","Buchwissenschaft, Buchhandel","Verlag"
"E. Weber Verlag","E. Weber Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"EDITION SIGNAThUR","Edition Signathur","Buchwissenschaft, Buchhandel","Verlag"
"EDITION XXL","EDITION XXL GmbH","Buchwissenschaft, Buchhandel","Verlag"
"EDITION digital","EDITION digital","Buchwissenschaft, Buchhandel","Verlag"
"EOS","EOS-Verlag","Katholische Kirche; Buchwissenschaft, Buchhandel","Verlag"
"EPLA Verlag","Epla-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"ERNi Druck und Media AG","Erni Druck und Media AG Verlag zum Hecht","Buchwissenschaft, Buchhandel","Verlag"
"ETAINA","ETAINA-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"EWK-Verl.","EWK-Verlag GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Echomedia-Buchverl.","echomedia buchverlag","Buchwissenschaft, Buchhandel","Verlag"
"Echter","Echter-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Echtzeit-Verl.","Echtzeit Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Eckelt Consultants GmbH","Eckelt Consultants GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Eckermann-Verl.","Eckermann Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Eckhard Bodner","Bodner Buchhandlung und Vlg.","Buchwissenschaft, Buchhandel","Buchhandlung"
"Ed.  Büchergilde","Edition Büchergilde GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Art Science","Edition Art Science","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Atelier","Edition Atelier","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Auvidarte","Edition Auvidarte","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Baes","edition baes","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Binsfeld","com'unity sarl Edition Guy Binsfeld","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Buntehunde","edition buntehunde","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Büchergilde","Edition Büchergilde GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Ebersbach","Edition Ebersbach","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Eizenbergerhof","edition eizenbergerhof","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Exil","edition exil","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Filidor","Edition Filidor","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Fünf","edition fünf","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Hartmann, AutorInnenverl.","Edition Hartmann und AutorInnenverlag Bern","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Howeg","Edition Howeg","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Hü & Hott","Edition Hü & Hott","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Hüne","Edition Hüne","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Innsalz","edition innsalz Verlags GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Isele","Edition Isele (Eggingen, Waldshut)","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Kalliope","Edition Kalliope","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Keiper","edition keiper","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Ki","Edition Ki","Buchwissenschaft, Buchhandel","Verlag"
"Ed. KoCheck","Edition KoCheck","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Lagarto","Edition Lagarto","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Lithaus","edition lithaus","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Lumière","edition lumière","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Memoria","edition memoria","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Mokka","Edition Mokka","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Musagetes","edition Musagetes","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Märkische Lebensart","Edition Märkische LebensArt","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Nachtgänge","Edition Nachtgänge","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Narrenflug","Edition Narrenflug","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Nord","Edition Nord","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Nordwindpress","Edition Nordwindpress","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Nove","edition nove","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Oberkassel","edition oberkassel","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Paashaas Verlag","Edition Paashaas Verlag EPV","Buchwissenschaft, Buchhandel","Verlag"
"Ed. PaperOne","Edition PaperONE","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Rester","editionRester","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Roter Drache","Edition Roter Drache","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Rugerup","Nimrod Förlag AB Edition Rugerup","Buchwissenschaft, Buchhandel","Verlag"
"Ed. SOLAR-X","Edition SOLAR-X","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Saarländisches Künstlerhaus","Saarländisches Künstlerhaus Saarbrücken","Buchwissenschaft, Buchhandel",NULL
"Ed. Schaumberg","Edition Schaumberg","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Signathur","Edition Signathur","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Sisyphos","Edition Sisyphos","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Sonnberg","Edition Sonnberg","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Sonne & Mond","edition sonne und mond Manfred Stangel","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Splitter","Edition Splitter Galerie Splitter Art","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Subkultur","edition subkultur","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Tandem","Edition Tandem","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Temmen","Edition Temmen","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Text und Media","Edition Text und Media","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Thaleia","Edition Thaleia - Interessen- und Förderkreis Literatrur und Kunst e.V.","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Thurnhof","Galerie und Edition Thurnhof","Buchwissenschaft, Buchhandel; Bildende Kunst","Verlag"
"Ed. Tintenfaß","Edition Tintenfaß","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Trèves","Éditions Trèves","Buchwissenschaft, Buchhandel; Einzelne Branchen der Industrie und des Handwerks",NULL
"Ed. Va Bene","Edition Va Bene","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Wartenau","EDWE Edition Wartenau GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Winkler-Hermaden","Edition Winkler-Hermaden","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Wort","edition Wort","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Zweihorn","edition zweihorn GmbH & Co. KG","Buchwissenschaft, Buchhandel","Verlag"
"Ed. Zwiefach","Zwiefach Edition","Buchwissenschaft, Buchhandel","Verlag"
"Ed. an der Spree","Edition an der Spree","Buchwissenschaft, Buchhandel","Verlag"
"Ed. fotoTAPETA","Edition.fotoTAPETA Berlin","Buchwissenschaft, Buchhandel","Verlag"
"Ed. lex liszt 12","edition lex liszt 12","Buchwissenschaft, Buchhandel","Verlag"
"Eden Books","Eden Books ein Imprint von Edel Germany GmbH","Buchwissenschaft, Buchhandel","Unternehmen"
"Edition 6065","Edition 6065","Buchwissenschaft, Buchhandel","Verlag"
"Edition 8","edition 8","Buchwissenschaft, Buchhandel","Verlag"
"Edition A.B. Fischer","Edition A.B. Fischer","Buchwissenschaft, Buchhandel","Verlag"
"Edition AV","Verlag Edition AV","Buchwissenschaft, Buchhandel","Verlag"
"Edition Art Science","Edition Art Science","Buchwissenschaft, Buchhandel","Verlag"
"Edition Ausblick","Edition Ausblick","Buchwissenschaft, Buchhandel","Verlag"
"Edition Baes","edition baes","Buchwissenschaft, Buchhandel","Verlag"
"Edition Blaue Feder","Edition Blaue Feder","Buchwissenschaft, Buchhandel","Verlag"
"Edition Blume","EDITION art-management HAMBURG","Buchwissenschaft, Buchhandel","Verlag"
"Edition Büchergilde","Edition Büchergilde GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Edition Contra-Bass","Edition Contra-Bass UG","Buchwissenschaft, Buchhandel","Verlag"
"Edition Dr. Strahalm","Edition Strahalm","Buchwissenschaft, Buchhandel","Verlag"
"Edition Epoca","Edition Epoca","Buchwissenschaft, Buchhandel","Verlag"
"Edition Falkenberg","Edition Falkenberg e.K.","Buchwissenschaft, Buchhandel","Verlag"
"Edition Fichter","H. W. Fichter Kunsthandel","Buchwissenschaft, Buchhandel; Handel einzelner Branchen, Dienstleistung einzelner Branchen; Bildende Kunst",NULL
"Edition Flaschenpost","Edition Flaschenpost","Buchwissenschaft, Buchhandel","Verlag"
"Edition Forsbach","Edition Forsbach","Buchwissenschaft, Buchhandel","Verlag"
"Edition Geheimes Wissen","Verlag Edition Geheimes Wissen","Buchwissenschaft, Buchhandel","Verlag"
"Edition Hamouda","Edition Hamouda","Buchwissenschaft, Buchhandel","Verlag"
"Edition Kalk","Edition Kalk","Buchwissenschaft, Buchhandel","Verlag"
"Edition Korrespondenzen","Edition Korrespondenzen","Buchwissenschaft, Buchhandel","Verlag"
"Edition Krautgarten","edition KRAUTGARTEN","Buchwissenschaft, Buchhandel","Verlag"
"Edition Kürbis","edition kürbis","Buchwissenschaft, Buchhandel","Verlag"
"Edition LEU","Edition LEU","Buchwissenschaft, Buchhandel","Verlag"
"Edition Laurin","Edition Laurin","Buchwissenschaft, Buchhandel","Verlag"
"Edition Lempertz","Math. Lempertz Edition und Verlagsbuchhandlung","Buchwissenschaft, Buchhandel","Verlag"
"Edition MOTOR","edition motor","Buchwissenschaft, Buchhandel","Verlag"
"Edition Märkische Reisebilder","Edition Märkische Reisebilder","Buchwissenschaft, Buchhandel","Verlag"
"Edition Nautilus","Edition Nautilus","Buchwissenschaft, Buchhandel","Verlag"
"Edition Octopus","Edition Octopus & Okeanos Presse","Buchwissenschaft, Buchhandel","Verlag"
"Edition Outbird","Edition Outbird","Buchwissenschaft, Buchhandel","Verlag"
"Edition Pommern","Edition Pommern","Buchwissenschaft, Buchhandel","Verlag"
"Edition Raetia","Edition Raetia GmbH","Buchwissenschaft, Buchhandel","Verlag"
"Edition Roesner","EDITION ROESNER","Buchwissenschaft, Buchhandel","Verlag"
"Edition SOLAR-X","Edition SOLAR-X","Buchwissenschaft, Buchhandel","Verlag"
"Edition Schlitzohr","Edition Schlitzohr","Buchwissenschaft, Buchhandel","Verlag"
"Edition Schreibkraft, Graz","edition schreibkraft","Buchwissenschaft, Buchhandel","Verlag"
"Edition TIAMAT","Edition Tiamat Klaus Bittermann","Einzelne Branchen der Industrie und des Handwerks; Buchwissenschaft, Buchhandel","Verlag"
"Edition Thurnhof","Galerie und Edition Thurnhof","Buchwissenschaft, Buchhandel; Bildende Kunst","Verlag"
"Edition Tintenfass","Edition Tintenfaß","Buchwissenschaft, Buchhandel","Verlag"
"Edition Tirol","Edition Tirol Martin Reiter","Buchwissenschaft, Buchhandel","Verlag"
"Edition Virgines","Edition Virgines","Buchwissenschaft, Buchhandel","Verlag"
"Edition Weinviertel / Edition Neue Wege / Regionalverlag.at","Edition Weinviertel","Buchwissenschaft, Buchhandel","Verlag"
"Edition Winterwork","Edition Winterwork","Buchwissenschaft, Buchhandel","Verlag"
"Effecteve-Verl.","Effecteve Verlag e.K.","Buchwissenschaft, Buchhandel","Verlag"
"Ehe Familie Buch","Ehe Familie Buch Maria Büchsenmeister","Buchwissenschaft, Buchhandel",NULL
"Ehrenberg-Verl.","Huter & Klimesch GmbH Ehrenberg Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Eichborn","Eichborn-Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Eichenspinner Verlag","Eichenspinner Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Eifelbildverlag","Eifelbildverlag","Buchwissenschaft, Buchhandel","Verlag"
"Eigenart-Verlag","eigenART Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Eigenverlag","Eigenverlag","Buchwissenschaft, Buchhandel","Verlag"
"Einbuch Buch- und Literaturverlag","EINBUCH Buch- und Literaturverlag Leipzig","Buchwissenschaft, Buchhandel","Verlag"
"Einfach Lesen","Verlag Einfach Lesen","Buchwissenschaft, Buchhandel","Verlag"
"Einhorn Verlag","Einhorn-Verlag (Schwäbisch Gmünd)","Buchwissenschaft, Buchhandel","Verlag"
"Eire Verlag","Eire Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Eisenhut-Verl.","Eisenhut Verlag","Buchwissenschaft, Buchhandel","Verlag"
"El Faro Verlag","El Faro Verlag","Buchwissenschaft, Buchhandel","Verlag"
"Elbaol Verlag","elbaol verlag hamburg","Buchwissenschaft, Buchhandel","Verlag"
"Elbufer Verlag","Elbufer Verlag UG (haftungsbeschränkt)","Buchwissenschaft, Buchhandel","Verlag"
"Elbverlag","Elbverlag Magdeburg","Buchwissenschaft, Buchhandel","Verlag"
"Eldur Verlag","Eldur-Verlag","Buchwissenschaft, Buchhandel","Verlag"
