"koerperschaft_id","koerperschaft_name","koerperschaft_name_gnd","gnd_sachgruppe","name_flag","literaturfern_status","bemerkung","website","updated_at"
"K1332","Heike Rosa Maria Gaudenti",NULL,NULL,NULL,"unklar","Person",NULL,"2026-04-12 16:34:48.658505"
"K1333","Heimann-Stiftung, für Völkerverständigung","Heimann Stiftung für Völkerverständigung",NULL,NULL,"true","Stiftung",NULL,"2026-04-12 16:34:48.658505"
"K1334","Heimat- u. Geschichtsverein",NULL,NULL,"Verein","true","Heimatverein",NULL,"2026-04-12 16:34:48.658505"
"K1335","Heimat- und Kulturverein Dahme","Heimat- und Kulturverein Dahme",NULL,"Verein","true","Heimatverein",NULL,"2026-04-12 16:34:48.658505"
"K1336","Heimat- und Museumsverein Thayaland","Heimat- und Museumsverein Thayaland",NULL,"Verein","true","Heimatverein",NULL,"2026-04-12 16:34:48.658505"
"K1337","Heimat- und Verschönerungsverein Bad Salzuflen e.V.","Heimat- und Verschönerungsverein Bad Salzuflen","Brauchtum, Volksglaube; Geografie, Heimat- und Länderkunde (Allgemeines); Raumordnung, Stadtplanung, Landschaftsgestaltung; Gruppe, Organisationssoziologie, Interaktion; Architektur","Verein","true","Heimatverein",NULL,"2026-04-12 16:34:48.658505"
"K1338","Heimatbote Schwalmtal",NULL,NULL,NULL,"true","Heimatverein",NULL,"2026-04-12 16:34:48.658505"
"K1339","Heimatfreunde Winterbach","Heimatfreunde Winterbach",NULL,NULL,"true","Heimatverein",NULL,"2026-04-12 16:34:48.658505"
"K1340","Heimatkundlicher Verein für Südböhmen e.V.",NULL,NULL,"Verein","true","Heimatverein",NULL,"2026-04-12 16:34:48.658505"
"K1348","Heinz-Willi Dammers",NULL,NULL,NULL,"true","Bumerang Entertainment","http://www.hwd-bumerang.de/de/04-kontakt-00.html","2026-04-12 16:34:48.658505"
"K1350","Hellinger Publ.",NULL,NULL,NULL,"false",NULL,NULL,"2026-04-12 19:24:36.816104"
"K1351","Hellinger Publications",NULL,NULL,NULL,"false",NULL,NULL,"2026-04-12 19:24:36.816104"
"K1363","HerausgeberInnengemeinschaft Irrliche",NULL,NULL,"Gemeinschaft","false","HerausgeberInnengemeinschaft ","http://irrliche.org/linkirrliche.htm","2026-04-12 16:34:48.658505"
"K1364","Herbst Medien",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1365","Herder",NULL,NULL,NULL,"false","Verlag","https://www.herder.de/","2026-04-12 16:34:48.658505"
"K1369","Herta Ahrenzmann c/o AutorenServices.de",NULL,NULL,NULL,"false",NULL,NULL,"2026-04-12 19:24:36.816104"
"K1370","Herzensmenschen",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1375","Hessel",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1377","HeuwägelchenBücher",NULL,NULL,NULL,"false",NULL,NULL,"2026-04-12 19:24:36.816104"
"K1378","Heydär Äliyev Stiftung","Heydär Äliyev Fondu",NULL,NULL,"true","soziale, wirtschaftliche sowie kulturelle Entwicklung des Staates","https://www.azerbaijans.com/content_1451_de.html","2026-04-12 16:34:48.658505"
"K1381","Heyne, W",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1386","Hildegard Tölke","Tölke, Hildegard","Personen zu Malerei, Zeichnung, Grafik; Personen zu Bildungswesen",NULL,"unklar","Person",NULL,"2026-04-12 16:34:48.658505"
"K139","April G. Dark c/o Gabriela Schmid",NULL,NULL,NULL,"unklar","Person",NULL,"2026-04-12 16:34:48.658505"
"K1392","Hinterländer Geschichtsverein","Hinterländer Geschichtsverein","Gruppe, Organisationssoziologie, Interaktion; Geografie, Heimat- und Länderkunde (Allgemeines); Geschichte (Allgemeines)","Verein","true","Geschichtsverein",NULL,"2026-04-12 16:34:48.658505"
"K1393","Hippomonte Publishing e.K.",NULL,NULL,"Unternehmen","false",NULL,NULL,"2026-04-12 19:24:36.816104"
"K1395","Hirn Kastl & Herz",NULL,NULL,NULL,"false","Verlag",NULL,"2026-04-12 16:34:48.658505"
"K1396","Hirnkost KG","Hirnkost KG",NULL,NULL,"false","Verlag","https://www.shop-hirnkost.de/","2026-04-12 16:34:48.658505"
"K1397","Hirschberger","Hirschberger Musikanten","Musik (Allgemeines), Musikgeschichte",NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1398","Hirt",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K140","Aquensis","Cappella Aquensis","Musik (Allgemeines), Musikgeschichte",NULL,"false","Verlag","https://www.aquensis-verlag.de/","2026-04-12 16:34:48.658505"
"K1401","Hoermann",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1404","Hofmann-Buch",NULL,NULL,NULL,"false",NULL,NULL,"2026-04-12 19:24:36.816104"
"K1405","Hohe-Dorst, Inka Maria",NULL,NULL,NULL,"unklar","Person",NULL,"2026-04-12 16:34:48.658505"
"K1407","Holder","Hoelder!",NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1417","Huber",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1419","Hunold, Konstanze",NULL,NULL,NULL,"unklar","Person",NULL,"2026-04-12 16:34:48.658505"
"K142","Arbeitsgemeinschaft Selbstständiger Migranten e.V.","Arbeitsgemeinschaft Selbstständiger Migranten e.V.","Bevölkerung, Sozialstruktur, Soziale Situation, Soziale Bewegungen; Arbeit","Verein","true","Verein","https://www.asm-hh.de/","2026-04-12 16:34:48.658505"
"K1423","Hydre Éditions",NULL,NULL,NULL,"false","Verlag","https://hydreditions.eu/","2026-04-12 16:34:48.658505"
"K1424","Hydre éditions",NULL,NULL,NULL,"false","Verlag","https://hydreditions.eu/","2026-04-12 16:34:48.658505"
"K1426","Höchlerbach",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K1429","I. Reen Bow",NULL,NULL,NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K143","Arbeitskreis der Gleichstellungsbeauftragten des Märkischen Kreises, Arbeitskreis der Gleichstellungsbeauftragten des Märkischen",NULL,NULL,"Gemeinschaft","true","Arbeitskreis",NULL,"2026-04-12 16:34:48.658505"
"K1431","IDEA","IDEA","Militär",NULL,"true","Evangelische Nachrichtenagentur IDEA","https://www.idea.de/","2026-04-12 16:34:48.658505"
"K1432","IDV AG",NULL,NULL,NULL,"true","Software­entwicklung","https://www.idv-ag.de/","2026-04-12 16:34:48.658505"
"K1439","INKAS","Ecuador Inkas","Musik (Allgemeines), Musikgeschichte",NULL,"unklar","unklar",NULL,"2026-04-12 16:34:48.658505"
"K144","Arbeitskreis für Dorfentwicklung und Heimatpflege","Arbeitskreis für Dorfentwicklung und Heimatpflege",NULL,"Gemeinschaft","true","Arbeitskreis",NULL,"2026-04-12 16:34:48.658505"
"K1445","Ida Universum",NULL,NULL,NULL,"unklar","Person",NULL,"2026-04-12 16:34:48.658505"
"K1453","Ilona Bürgel","Bürgel, Ilona",NULL,NULL,"unklar","Person",NULL,"2026-04-12 16:34:48.658505"
