"koerperschaft_id","koerperschaft_name","koerperschaft_name_gnd","gnd_sachgruppe","name_flag"
"K1264","Gruber",NULL,NULL,NULL
"K1271","Grünberg",NULL,NULL,NULL
"K1272","Grüne Aue","Kleingartenverein Grüne Aue (Leipzig)",NULL,"Verein"
"K1274","Gudruns Töchter",NULL,NULL,NULL
"K1277","Gunda-Werner-Institut","Gunda-Werner-Institut","Wissenschaft; Sozialpolitik, Entwicklungshilfe","Institut"
"K1279","Górnośląskie Centrum Kultury i Spotkań im. Eichendorffa",NULL,NULL,NULL
"K1281","Günther Emigs Literatur-Betrieb",NULL,NULL,NULL
"K1284","H. Weisenfeld",NULL,NULL,NULL
"K1296","Hager",NULL,NULL,NULL
"K1304","Hammer",NULL,NULL,NULL
"K1307","Hands Art, Four",NULL,NULL,NULL
"K1308","Hanno Herbst Musik & Buch",NULL,NULL,NULL
"K1309","Hans-Werner Kulinna c/o Autorenglück.de",NULL,NULL,NULL
"K1314","Hardt & Wörner",NULL,NULL,NULL
"K1318","Hartmann",NULL,NULL,NULL
"K1319","Hartmut Krüpe-Silbersiepe",NULL,NULL,NULL
"K1322","Hassa & Karl Grafische Anstalten",NULL,NULL,NULL
"K1326","Haus für Poesie","Haus für Poesie",NULL,NULL
"K1327","Hawkify Books",NULL,NULL,NULL
"K1332","Heike Rosa Maria Gaudenti",NULL,NULL,NULL
"K1333","Heimann-Stiftung, für Völkerverständigung","Heimann Stiftung für Völkerverständigung",NULL,NULL
"K1334","Heimat- u. Geschichtsverein",NULL,NULL,"Verein"
"K1335","Heimat- und Kulturverein Dahme","Heimat- und Kulturverein Dahme",NULL,"Verein"
"K1336","Heimat- und Museumsverein Thayaland","Heimat- und Museumsverein Thayaland",NULL,"Verein"
"K1337","Heimat- und Verschönerungsverein Bad Salzuflen e.V.","Heimat- und Verschönerungsverein Bad Salzuflen","Brauchtum, Volksglaube; Geografie, Heimat- und Länderkunde (Allgemeines); Raumordnung, Stadtplanung, Landschaftsgestaltung; Gruppe, Organisationssoziologie, Interaktion; Architektur","Verein"
"K1338","Heimatbote Schwalmtal",NULL,NULL,NULL
"K1339","Heimatfreunde Winterbach","Heimatfreunde Winterbach",NULL,NULL
"K1340","Heimatkundlicher Verein für Südböhmen e.V.",NULL,NULL,"Verein"
"K1348","Heinz-Willi Dammers",NULL,NULL,NULL
"K1350","Hellinger Publ.",NULL,NULL,NULL
"K1351","Hellinger Publications",NULL,NULL,NULL
"K2312","Regina Mars c/o Block Services",NULL,NULL,NULL
"K1363","HerausgeberInnengemeinschaft Irrliche",NULL,NULL,"Gemeinschaft"
"K1364","Herbst Medien",NULL,NULL,NULL
"K1365","Herder",NULL,NULL,NULL
"K1369","Herta Ahrenzmann c/o AutorenServices.de",NULL,NULL,NULL
"K1370","Herzensmenschen",NULL,NULL,NULL
"K1375","Hessel",NULL,NULL,NULL
"K1377","HeuwägelchenBücher",NULL,NULL,NULL
"K1378","Heydär Äliyev Stiftung","Heydär Äliyev Fondu",NULL,NULL
"K1381","Heyne, W",NULL,NULL,NULL
"K1386","Hildegard Tölke","Tölke, Hildegard","Personen zu Malerei, Zeichnung, Grafik; Personen zu Bildungswesen",NULL
"K1392","Hinterländer Geschichtsverein","Hinterländer Geschichtsverein","Gruppe, Organisationssoziologie, Interaktion; Geografie, Heimat- und Länderkunde (Allgemeines); Geschichte (Allgemeines)","Verein"
"K1393","Hippomonte Publishing e.K.",NULL,NULL,"Unternehmen"
"K1395","Hirn Kastl & Herz",NULL,NULL,NULL
"K1396","Hirnkost KG","Hirnkost KG",NULL,NULL
"K1397","Hirschberger","Hirschberger Musikanten","Musik (Allgemeines), Musikgeschichte",NULL
"K1398","Hirt",NULL,NULL,NULL
"K1401","Hoermann",NULL,NULL,NULL
"K1404","Hofmann-Buch",NULL,NULL,NULL
"K1405","Hohe-Dorst, Inka Maria",NULL,NULL,NULL
"K1407","Holder","Hoelder!",NULL,NULL
"K1417","Huber",NULL,NULL,NULL
"K1419","Hunold, Konstanze",NULL,NULL,NULL
"K1423","Hydre Éditions",NULL,NULL,NULL
"K1424","Hydre éditions",NULL,NULL,NULL
"K1426","Höchlerbach",NULL,NULL,NULL
"K2508","Schöler",NULL,NULL,NULL
"K1429","I. Reen Bow",NULL,NULL,NULL
"K1431","IDEA","IDEA","Militär",NULL
"K1432","IDV AG",NULL,NULL,NULL
"K1439","INKAS","Ecuador Inkas","Musik (Allgemeines), Musikgeschichte",NULL
"K1445","Ida Universum",NULL,NULL,NULL
"K1453","Ilona Bürgel","Bürgel, Ilona",NULL,NULL
"K1464","Initiative DarkSky Nord",NULL,NULL,NULL
"K1465","Inkitt Inc.",NULL,NULL,NULL
"K1466","Innerhofer, Agnes","Innerhofer, Agnes",NULL,NULL
"K1467","Innings, Ava","Innings, Ava",NULL,NULL
"K1473","Institut für Digitale Ethik","Institut für Digitale Ethik",NULL,"Institut"
"K1474","Institut für deutsche Sprache und Literatur I, Universität zu Köln","Universität zu Köln. Institut für Deutsche Sprache und Literatur I",NULL,"Institut"
"K1475","Interforum e.V.","Interforum e.V.",NULL,"Verein"
"K1484","Izdatelstvo Vesi",NULL,NULL,NULL
"K1485","J. Flume",NULL,NULL,NULL
"K1486","J. Kissel",NULL,NULL,NULL
"K1487","J. Münch",NULL,NULL,NULL
"K1491","JFF",NULL,NULL,NULL
"K1493","JOJO","Jojo","Musik (Allgemeines), Musikgeschichte",NULL
"K1497","JVA Hannover","Justizvollzugsanstalt (Hannover)",NULL,NULL
"K1498","JWV Wiemann",NULL,NULL,NULL
"K1504","Jan Deichmohle c/o AutorenServices.de",NULL,NULL,NULL
"K1505","Janson",NULL,NULL,NULL
"K1508","Jeetzelbuch",NULL,NULL,NULL
"K1512","Jes Schön  c/o WirFinden.Es Naß und Hellie GbR",NULL,NULL,"Unternehmen"
"K1513","Jes Schön c/o WirFinden.Es Naß und Hellie GbR",NULL,NULL,"Unternehmen"
"K1517","Jokers","Great Jokers","Musik (Allgemeines), Musikgeschichte",NULL
"K1520","JuLl – Junges Literaturlabor","Junges Literaturlabor",NULL,NULL
"K1521","Jud","JUD","Musik (Allgemeines), Musikgeschichte",NULL
"K1522","Jumbo","Jumbo","Musik (Allgemeines), Musikgeschichte",NULL
"K1527","Juppus Bücher",NULL,NULL,NULL
"K1532","K & S",NULL,NULL,NULL
"K1533","K & W",NULL,NULL,NULL
"K1542","KUNTS e.V.","Kunts e.V.",NULL,"Verein"
