"koerperschaft_id","kategorie","n_publikationsbeteiligungen"
"K2485","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2487","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K249","definitiv Verlag (Name + Sachgruppe)",1
"K2491","definitiv Verlag (Name + Sachgruppe)",2
"K2492","definitiv Verlag (Name + Sachgruppe)",1
"K2496","definitiv Verlag (Name + Sachgruppe)",4
"K2498","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2499","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2501","Verlag laut Name (keine verlagsrelevante Sachgruppe)",7
"K2502","definitiv Verlag (Name + Sachgruppe)",10
"K2503","definitiv Verlag (Name + Sachgruppe)",3
"K2504","definitiv Verlag (Name + Sachgruppe)",14
"K2509","definitiv Verlag (Name + Sachgruppe)",1
"K2511","definitiv Verlag (Name + Sachgruppe)",4
"K2512","definitiv Verlag (Name + Sachgruppe)",2
"K2514","definitiv Verlag (Name + Sachgruppe)",2
"K2515","definitiv Verlag (Name + Sachgruppe)",2
"K2517","definitiv Verlag (Name + Sachgruppe)",1
"K2518","definitiv Verlag (Name + Sachgruppe)",1
"K2519","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2521","definitiv Verlag (Name + Sachgruppe)",5
"K2522","definitiv Verlag (Name + Sachgruppe)",1
"K2524","definitiv Verlag (Name + Sachgruppe)",1
"K2526","definitiv Verlag (Name + Sachgruppe)",1
"K2527","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2528","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2529","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K253","definitiv Verlag (Name + Sachgruppe)",1
"K2530","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2531","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2532","definitiv Verlag (Name + Sachgruppe)",1
"K2533","definitiv Verlag (Name + Sachgruppe)",2
"K2534","definitiv Verlag (Name + Sachgruppe)",1
"K2535","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2537","definitiv Verlag (Name + Sachgruppe)",2
"K2538","definitiv Verlag (Name + Sachgruppe)",6
"K2539","definitiv Verlag (Name + Sachgruppe)",2
"K2540","definitiv Verlag (Name + Sachgruppe)",2
"K2541","definitiv Verlag (Name + Sachgruppe)",5
"K2542","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2543","definitiv Verlag (Name + Sachgruppe)",71
"K2546","definitiv Verlag (Name + Sachgruppe)",1
"K2549","definitiv Verlag (Name + Sachgruppe)",2
"K255","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2552","definitiv Verlag (Name + Sachgruppe)",2
"K2553","definitiv Verlag (Name + Sachgruppe)",1
"K2554","definitiv Verlag (Name + Sachgruppe)",20
"K2555","definitiv Verlag (Name + Sachgruppe)",1
"K2557","definitiv Verlag (Name + Sachgruppe)",1
"K2558","definitiv Verlag (Name + Sachgruppe)",1
"K256","definitiv Verlag (Name + Sachgruppe)",1
"K2561","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2562","definitiv Verlag (Name + Sachgruppe)",16
"K2564","definitiv Verlag (Name + Sachgruppe)",1
"K2565","definitiv Verlag (Name + Sachgruppe)",9
"K2566","definitiv Verlag (Name + Sachgruppe)",1
"K2567","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2569","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K257","definitiv Verlag (Name + Sachgruppe)",1
"K2570","Verlag laut Name (keine verlagsrelevante Sachgruppe)",5
"K2571","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2575","definitiv Verlag (Name + Sachgruppe)",3
"K2576","definitiv Verlag (Name + Sachgruppe)",1
"K2577","definitiv Verlag (Name + Sachgruppe)",1
"K2579","definitiv Verlag (Name + Sachgruppe)",21
"K2580","definitiv Verlag (Name + Sachgruppe)",4
"K2582","definitiv Verlag (Name + Sachgruppe)",7
"K2584","Verlag laut Name (keine verlagsrelevante Sachgruppe)",8
"K2587","definitiv Verlag (Name + Sachgruppe)",6
"K2588","definitiv Verlag (Name + Sachgruppe)",2
"K2590","definitiv Verlag (Name + Sachgruppe)",9
"K2591","definitiv Verlag (Name + Sachgruppe)",16
"K2592","definitiv Verlag (Name + Sachgruppe)",1
"K2593","definitiv Verlag (Name + Sachgruppe)",1
"K2596","definitiv Verlag (Name + Sachgruppe)",1
"K2598","definitiv Verlag (Name + Sachgruppe)",162
"K26","definitiv Verlag (Name + Sachgruppe)",1
"K260","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2600","definitiv Verlag (Name + Sachgruppe)",1
"K2608","definitiv Verlag (Name + Sachgruppe)",1
"K261","definitiv Verlag (Name + Sachgruppe)",1
"K2610","definitiv Verlag (Name + Sachgruppe)",1
"K2612","definitiv Verlag (Name + Sachgruppe)",6
"K2613","definitiv Verlag (Name + Sachgruppe)",2
"K2616","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2617","definitiv Verlag (Name + Sachgruppe)",1
"K2618","definitiv Verlag (Name + Sachgruppe)",1
"K2619","definitiv Verlag (Name + Sachgruppe)",2
"K2620","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2622","definitiv Verlag (Name + Sachgruppe)",1
"K2623","Verlag laut Name (keine verlagsrelevante Sachgruppe)",4
"K2624","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2627","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2628","definitiv Verlag (Name + Sachgruppe)",2
"K2629","definitiv Verlag (Name + Sachgruppe)",8
"K263","definitiv Verlag (Name + Sachgruppe)",9
"K2631","definitiv Verlag (Name + Sachgruppe)",2
"K2633","definitiv Verlag (Name + Sachgruppe)",1
"K2634","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2635","definitiv Verlag (Name + Sachgruppe)",1
"K2636","definitiv Verlag (Name + Sachgruppe)",1
"K2637","Verlag laut Name (keine verlagsrelevante Sachgruppe)",3
"K2639","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K264","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2640","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2641","definitiv Verlag (Name + Sachgruppe)",1
"K2645","definitiv Verlag (Name + Sachgruppe)",5
"K2647","definitiv Verlag (Name + Sachgruppe)",3
"K2648","definitiv Verlag (Name + Sachgruppe)",1
"K2649","definitiv Verlag (Name + Sachgruppe)",66
"K265","definitiv Verlag (Name + Sachgruppe)",1
"K2650","definitiv Verlag (Name + Sachgruppe)",4
"K2653","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2654","definitiv Verlag (Name + Sachgruppe)",3
"K2655","definitiv Verlag (Name + Sachgruppe)",0
"K2656","definitiv Verlag (Name + Sachgruppe)",6
"K2657","definitiv Verlag (Name + Sachgruppe)",1
"K2659","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K266","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2660","definitiv Verlag (Name + Sachgruppe)",12
"K2662","definitiv Verlag (Name + Sachgruppe)",4
"K2663","definitiv Verlag (Name + Sachgruppe)",1
"K2666","definitiv Verlag (Name + Sachgruppe)",1
"K2668","definitiv Verlag (Name + Sachgruppe)",3
"K267","definitiv Verlag (Name + Sachgruppe)",1
"K2670","definitiv Verlag (Name + Sachgruppe)",29
"K2672","definitiv Verlag (Name + Sachgruppe)",2
"K2674","definitiv Verlag (Name + Sachgruppe)",2
"K2675","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2676","Verlag laut Name (keine verlagsrelevante Sachgruppe)",4
"K2678","Verlag laut Name (keine verlagsrelevante Sachgruppe)",3
"K268","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2680","definitiv Verlag (Name + Sachgruppe)",2
"K2681","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2682","definitiv Verlag (Name + Sachgruppe)",1
"K2683","definitiv Verlag (Name + Sachgruppe)",1
"K2685","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2686","Verlag laut Name (keine verlagsrelevante Sachgruppe)",3
"K2689","definitiv Verlag (Name + Sachgruppe)",23
"K269","definitiv Verlag (Name + Sachgruppe)",3
"K2690","Verlag laut Name (keine verlagsrelevante Sachgruppe)",4
"K2692","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2693","definitiv Verlag (Name + Sachgruppe)",1
"K2694","definitiv Verlag (Name + Sachgruppe)",1
"K2696","definitiv Verlag (Name + Sachgruppe)",2
"K2698","definitiv Verlag (Name + Sachgruppe)",1
"K2699","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K27","definitiv Verlag (Name + Sachgruppe)",3
"K270","definitiv Verlag (Name + Sachgruppe)",1
"K2702","definitiv Verlag (Name + Sachgruppe)",1
"K2703","definitiv Verlag (Name + Sachgruppe)",2
"K2704","definitiv Verlag (Name + Sachgruppe)",3
"K2705","definitiv Verlag (Name + Sachgruppe)",4
"K2706","definitiv Verlag (Name + Sachgruppe)",1
"K2709","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2712","definitiv Verlag (Name + Sachgruppe)",1
"K2713","definitiv Verlag (Name + Sachgruppe)",3
"K2714","Verlag laut Name (keine verlagsrelevante Sachgruppe)",3
"K2715","definitiv Verlag (Name + Sachgruppe)",1
"K2716","definitiv Verlag (Name + Sachgruppe)",1
"K2717","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2719","definitiv Verlag (Name + Sachgruppe)",1
"K272","definitiv Verlag (Name + Sachgruppe)",1
"K2721","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2722","definitiv Verlag (Name + Sachgruppe)",1
"K2723","definitiv Verlag (Name + Sachgruppe)",8
"K2726","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2727","definitiv Verlag (Name + Sachgruppe)",6
"K2728","definitiv Verlag (Name + Sachgruppe)",1
"K2729","definitiv Verlag (Name + Sachgruppe)",4
"K273","definitiv Verlag (Name + Sachgruppe)",4
"K2732","definitiv Verlag (Name + Sachgruppe)",6
"K2734","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2735","definitiv Verlag (Name + Sachgruppe)",1
"K2736","definitiv Verlag (Name + Sachgruppe)",1
"K2737","definitiv Verlag (Name + Sachgruppe)",1
"K2738","definitiv Verlag (Name + Sachgruppe)",1
"K274","Verlag laut Name (keine verlagsrelevante Sachgruppe)",3
"K2740","Verlag laut Name (keine verlagsrelevante Sachgruppe)",9
"K2741","definitiv Verlag (Name + Sachgruppe)",1
"K2743","definitiv Verlag (Name + Sachgruppe)",1
"K2744","definitiv Verlag (Name + Sachgruppe)",9
"K2746","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2747","Verlag laut Name (keine verlagsrelevante Sachgruppe)",14
"K2751","definitiv Verlag (Name + Sachgruppe)",3
"K2756","definitiv Verlag (Name + Sachgruppe)",4
"K2757","definitiv Verlag (Name + Sachgruppe)",2
"K2758","definitiv Verlag (Name + Sachgruppe)",2
"K276","definitiv Verlag (Name + Sachgruppe)",0
"K2760","definitiv Verlag (Name + Sachgruppe)",2
"K2761","definitiv Verlag (Name + Sachgruppe)",37
"K2762","definitiv Verlag (Name + Sachgruppe)",1
"K2763","definitiv Verlag (Name + Sachgruppe)",1
"K2765","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2766","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2768","definitiv Verlag (Name + Sachgruppe)",2
"K2769","definitiv Verlag (Name + Sachgruppe)",8
"K277","Verlag laut Name (keine verlagsrelevante Sachgruppe)",8
"K2770","definitiv Verlag (Name + Sachgruppe)",14
"K2771","definitiv Verlag (Name + Sachgruppe)",2
"K2774","definitiv Verlag (Name + Sachgruppe)",1
"K2775","definitiv Verlag (Name + Sachgruppe)",2
"K2776","definitiv Verlag (Name + Sachgruppe)",8
"K2777","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2778","definitiv Verlag (Name + Sachgruppe)",1
"K2779","definitiv Verlag (Name + Sachgruppe)",1
"K278","definitiv Verlag (Name + Sachgruppe)",11
"K2781","definitiv Verlag (Name + Sachgruppe)",2
"K2782","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2783","definitiv Verlag (Name + Sachgruppe)",1
"K2784","definitiv Verlag (Name + Sachgruppe)",3
"K2785","definitiv Verlag (Name + Sachgruppe)",1
"K2787","definitiv Verlag (Name + Sachgruppe)",1
"K2788","definitiv Verlag (Name + Sachgruppe)",1
"K2789","definitiv Verlag (Name + Sachgruppe)",1
"K2791","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2792","definitiv Verlag (Name + Sachgruppe)",2
"K2793","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2795","definitiv Verlag (Name + Sachgruppe)",1
"K2796","Verlag laut Name (keine verlagsrelevante Sachgruppe)",4
"K2798","definitiv Verlag (Name + Sachgruppe)",4
"K28","definitiv Verlag (Name + Sachgruppe)",3
"K280","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2801","definitiv Verlag (Name + Sachgruppe)",1
"K2802","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2804","definitiv Verlag (Name + Sachgruppe)",1
"K2805","definitiv Verlag (Name + Sachgruppe)",1
"K2807","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2808","definitiv Verlag (Name + Sachgruppe)",3
"K2809","definitiv Verlag (Name + Sachgruppe)",4
"K281","definitiv Verlag (Name + Sachgruppe)",2
"K2810","definitiv Verlag (Name + Sachgruppe)",3
"K2811","definitiv Verlag (Name + Sachgruppe)",6
"K2812","definitiv Verlag (Name + Sachgruppe)",16
"K2814","definitiv Verlag (Name + Sachgruppe)",19
"K2816","definitiv Verlag (Name + Sachgruppe)",4
"K282","definitiv Verlag (Name + Sachgruppe)",6
"K2826","definitiv Verlag (Name + Sachgruppe)",4
"K2827","definitiv Verlag (Name + Sachgruppe)",5
"K2828","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2829","definitiv Verlag (Name + Sachgruppe)",2
"K283","definitiv Verlag (Name + Sachgruppe)",0
"K2830","definitiv Verlag (Name + Sachgruppe)",1
"K2831","definitiv Verlag (Name + Sachgruppe)",8
"K2832","definitiv Verlag (Name + Sachgruppe)",1
"K2833","definitiv Verlag (Name + Sachgruppe)",2
"K2834","definitiv Verlag (Name + Sachgruppe)",1
"K2835","definitiv Verlag (Name + Sachgruppe)",1
"K2836","definitiv Verlag (Name + Sachgruppe)",1
"K2837","definitiv Verlag (Name + Sachgruppe)",1
"K2838","definitiv Verlag (Name + Sachgruppe)",2
"K2839","definitiv Verlag (Name + Sachgruppe)",1
"K2840","definitiv Verlag (Name + Sachgruppe)",1
"K2841","definitiv Verlag (Name + Sachgruppe)",2
"K2842","definitiv Verlag (Name + Sachgruppe)",1
"K2843","definitiv Verlag (Name + Sachgruppe)",3
"K2844","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2845","definitiv Verlag (Name + Sachgruppe)",1
"K2846","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2848","definitiv Verlag (Name + Sachgruppe)",1
"K2849","definitiv Verlag (Name + Sachgruppe)",1
"K285","definitiv Verlag (Name + Sachgruppe)",7
"K2850","definitiv Verlag (Name + Sachgruppe)",1
"K2851","definitiv Verlag (Name + Sachgruppe)",1
"K2853","definitiv Verlag (Name + Sachgruppe)",1
"K2854","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2855","definitiv Verlag (Name + Sachgruppe)",3
"K2856","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2857","definitiv Verlag (Name + Sachgruppe)",1
"K2859","definitiv Verlag (Name + Sachgruppe)",1
"K286","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2860","definitiv Verlag (Name + Sachgruppe)",1
"K2861","definitiv Verlag (Name + Sachgruppe)",4
"K2863","definitiv Verlag (Name + Sachgruppe)",1
"K2864","definitiv Verlag (Name + Sachgruppe)",1
"K2866","definitiv Verlag (Name + Sachgruppe)",2
"K2867","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2868","definitiv Verlag (Name + Sachgruppe)",3
"K2869","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K287","definitiv Verlag (Name + Sachgruppe)",4
"K2870","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2871","definitiv Verlag (Name + Sachgruppe)",2
"K2872","definitiv Verlag (Name + Sachgruppe)",2
"K2873","definitiv Verlag (Name + Sachgruppe)",6
"K2874","definitiv Verlag (Name + Sachgruppe)",1
"K2875","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2876","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2877","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2878","definitiv Verlag (Name + Sachgruppe)",1
"K2879","Verlag laut Name (keine verlagsrelevante Sachgruppe)",4
"K288","definitiv Verlag (Name + Sachgruppe)",1
"K2880","definitiv Verlag (Name + Sachgruppe)",1
"K2881","definitiv Verlag (Name + Sachgruppe)",1
"K2882","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2883","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2884","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2885","definitiv Verlag (Name + Sachgruppe)",1
"K2886","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2887","definitiv Verlag (Name + Sachgruppe)",2
"K2888","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2889","definitiv Verlag (Name + Sachgruppe)",1
"K289","definitiv Verlag (Name + Sachgruppe)",2
"K2890","definitiv Verlag (Name + Sachgruppe)",1
"K2891","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2892","definitiv Verlag (Name + Sachgruppe)",1
"K2893","definitiv Verlag (Name + Sachgruppe)",1
"K2895","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2896","definitiv Verlag (Name + Sachgruppe)",2
"K2897","definitiv Verlag (Name + Sachgruppe)",49
"K2898","definitiv Verlag (Name + Sachgruppe)",1
"K29","definitiv Verlag (Name + Sachgruppe)",2
"K2900","definitiv Verlag (Name + Sachgruppe)",2
"K2901","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2902","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2903","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2904","Verlag laut Name (keine verlagsrelevante Sachgruppe)",4
"K2905","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2906","definitiv Verlag (Name + Sachgruppe)",2
"K2907","definitiv Verlag (Name + Sachgruppe)",1
"K2908","Verlag laut Name (keine verlagsrelevante Sachgruppe)",7
"K2909","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K291","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2910","definitiv Verlag (Name + Sachgruppe)",1
"K2911","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2912","definitiv Verlag (Name + Sachgruppe)",4
"K2913","definitiv Verlag (Name + Sachgruppe)",1
"K2914","definitiv Verlag (Name + Sachgruppe)",3
"K2915","definitiv Verlag (Name + Sachgruppe)",9
"K2916","definitiv Verlag (Name + Sachgruppe)",4
"K2917","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2918","definitiv Verlag (Name + Sachgruppe)",6
"K2919","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K292","definitiv Verlag (Name + Sachgruppe)",1
"K2920","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2921","Verlag laut Name (keine verlagsrelevante Sachgruppe)",3
"K2922","definitiv Verlag (Name + Sachgruppe)",2
"K2923","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2924","definitiv Verlag (Name + Sachgruppe)",6
"K2925","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2926","definitiv Verlag (Name + Sachgruppe)",1
"K2927","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2928","definitiv Verlag (Name + Sachgruppe)",2
"K2929","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2930","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2931","definitiv Verlag (Name + Sachgruppe)",5
"K2932","definitiv Verlag (Name + Sachgruppe)",1
"K2933","definitiv Verlag (Name + Sachgruppe)",1
"K2934","definitiv Verlag (Name + Sachgruppe)",1
"K2935","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2936","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2938","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2939","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2940","definitiv Verlag (Name + Sachgruppe)",2
"K2941","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2942","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2943","definitiv Verlag (Name + Sachgruppe)",11
"K2944","definitiv Verlag (Name + Sachgruppe)",1
"K2945","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2946","definitiv Verlag (Name + Sachgruppe)",1
"K2947","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2948","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2949","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K295","definitiv Verlag (Name + Sachgruppe)",2
"K2950","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2951","definitiv Verlag (Name + Sachgruppe)",1
"K2952","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2953","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2954","definitiv Verlag (Name + Sachgruppe)",1
"K2955","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2956","definitiv Verlag (Name + Sachgruppe)",3
"K2957","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2958","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2959","definitiv Verlag (Name + Sachgruppe)",1
"K2960","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2961","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2962","Verlag laut Name (keine verlagsrelevante Sachgruppe)",6
"K2963","definitiv Verlag (Name + Sachgruppe)",0
"K2964","definitiv Verlag (Name + Sachgruppe)",1
"K2965","definitiv Verlag (Name + Sachgruppe)",1
"K2966","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2967","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2968","definitiv Verlag (Name + Sachgruppe)",1
"K2969","definitiv Verlag (Name + Sachgruppe)",1
"K297","definitiv Verlag (Name + Sachgruppe)",1
"K2970","definitiv Verlag (Name + Sachgruppe)",6
"K2971","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2972","definitiv Verlag (Name + Sachgruppe)",2
"K2973","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2974","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2975","definitiv Verlag (Name + Sachgruppe)",2
"K2976","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2977","definitiv Verlag (Name + Sachgruppe)",1
"K2978","definitiv Verlag (Name + Sachgruppe)",3
"K2979","definitiv Verlag (Name + Sachgruppe)",2
"K298","definitiv Verlag (Name + Sachgruppe)",4
"K2980","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2981","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2982","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2983","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2984","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2985","definitiv Verlag (Name + Sachgruppe)",2
"K2986","definitiv Verlag (Name + Sachgruppe)",1
"K2987","definitiv Verlag (Name + Sachgruppe)",1
"K2988","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2989","Verlag laut Name (keine verlagsrelevante Sachgruppe)",4
"K2990","definitiv Verlag (Name + Sachgruppe)",1
"K2991","definitiv Verlag (Name + Sachgruppe)",1
"K2992","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2993","definitiv Verlag (Name + Sachgruppe)",1
"K2994","definitiv Verlag (Name + Sachgruppe)",10
"K2995","Verlag laut Name (keine verlagsrelevante Sachgruppe)",10
"K2996","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K2997","definitiv Verlag (Name + Sachgruppe)",5
"K2998","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K2999","definitiv Verlag (Name + Sachgruppe)",1
"K300","definitiv Verlag (Name + Sachgruppe)",2
"K3000","definitiv Verlag (Name + Sachgruppe)",1
"K3001","definitiv Verlag (Name + Sachgruppe)",1
"K3002","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K3003","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K3004","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K3005","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K3006","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K3007","definitiv Verlag (Name + Sachgruppe)",1
"K3008","Verlag laut Name (keine verlagsrelevante Sachgruppe)",11
"K3009","definitiv Verlag (Name + Sachgruppe)",6
"K301","definitiv Verlag (Name + Sachgruppe)",1
"K3010","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K3011","definitiv Verlag (Name + Sachgruppe)",1
"K3012","definitiv Verlag (Name + Sachgruppe)",2
"K3013","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K3014","definitiv Verlag (Name + Sachgruppe)",1
"K3016","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K3017","definitiv Verlag (Name + Sachgruppe)",1
"K3018","definitiv Verlag (Name + Sachgruppe)",31
"K3019","Verlag laut Name (keine verlagsrelevante Sachgruppe)",4
"K302","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K3020","definitiv Verlag (Name + Sachgruppe)",4
"K3021","Verlag laut Name (keine verlagsrelevante Sachgruppe)",4
"K3022","definitiv Verlag (Name + Sachgruppe)",3
"K3023","definitiv Verlag (Name + Sachgruppe)",1
"K3024","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K3025","Verlag laut Name (keine verlagsrelevante Sachgruppe)",0
"K3026","Verlag laut Name (keine verlagsrelevante Sachgruppe)",0
"K3027","definitiv Verlag (Name + Sachgruppe)",1
"K3028","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K3029","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K3030","definitiv Verlag (Name + Sachgruppe)",1
"K3031","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K3032","Verlag laut Name (keine verlagsrelevante Sachgruppe)",11
"K3033","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K3034","definitiv Verlag (Name + Sachgruppe)",4
"K3035","Verlag laut Name (keine verlagsrelevante Sachgruppe)",4
"K3036","definitiv Verlag (Name + Sachgruppe)",3
"K3037","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K3038","definitiv Verlag (Name + Sachgruppe)",1
"K3039","definitiv Verlag (Name + Sachgruppe)",1
"K3041","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K3042","definitiv Verlag (Name + Sachgruppe)",1
