"koerperschaft_id","kategorie","n_publikationsbeteiligungen"
"K1254","definitiv Verlag (Name + Sachgruppe)",3
"K1255","definitiv Verlag (Name + Sachgruppe)",1
"K1257","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1259","definitiv Verlag (Name + Sachgruppe)",7
"K1265","definitiv Verlag (Name + Sachgruppe)",1
"K1266","definitiv Verlag (Name + Sachgruppe)",3
"K1267","definitiv Verlag (Name + Sachgruppe)",3
"K1269","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K127","definitiv Verlag (Name + Sachgruppe)",1
"K1270","definitiv Verlag (Name + Sachgruppe)",18
"K1273","definitiv Verlag (Name + Sachgruppe)",1
"K1278","definitiv Verlag (Name + Sachgruppe)",1
"K128","definitiv Verlag (Name + Sachgruppe)",3
"K1282","definitiv Verlag (Name + Sachgruppe)",3
"K1285","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1286","definitiv Verlag (Name + Sachgruppe)",4
"K1287","definitiv Verlag (Name + Sachgruppe)",1
"K1288","definitiv Verlag (Name + Sachgruppe)",5
"K1289","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1291","definitiv Verlag (Name + Sachgruppe)",1
"K1292","definitiv Verlag (Name + Sachgruppe)",4
"K1293","definitiv Verlag (Name + Sachgruppe)",3
"K1294","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1295","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1297","definitiv Verlag (Name + Sachgruppe)",1
"K1298","definitiv Verlag (Name + Sachgruppe)",3
"K1299","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K130","Verlag laut Name (keine verlagsrelevante Sachgruppe)",14
"K1300","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1302","definitiv Verlag (Name + Sachgruppe)",4
"K1303","Verlag laut Name (keine verlagsrelevante Sachgruppe)",2
"K1305","definitiv Verlag (Name + Sachgruppe)",1
"K1306","definitiv Verlag (Name + Sachgruppe)",1
"K131","definitiv Verlag (Name + Sachgruppe)",1
"K1310","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1311","definitiv Verlag (Name + Sachgruppe)",20
"K1313","definitiv Verlag (Name + Sachgruppe)",9
"K1315","Verlag laut Name (keine verlagsrelevante Sachgruppe)",1
"K1320","definitiv Verlag (Name + Sachgruppe)",2
"K1321","definitiv Verlag (Name + Sachgruppe)",1
"K1323","definitiv Verlag (Name + Sachgruppe)",3
"K1325","definitiv Verlag (Name + Sachgruppe)",1
"K1328","definitiv Verlag (Name + Sachgruppe)",20
"K1329","definitiv Verlag (Name + Sachgruppe)",1
"K133","definitiv Verlag (Name + Sachgruppe)",1
"K1330","definitiv Verlag (Name + Sachgruppe)",3
"K134","definitiv Verlag (Name + Sachgruppe)",3
