veranstaltung_id;va_name;veranstalter;veranstaltungsort;laengenvorgabe_text;themenvorgabe;altersgrenze;jury_2023;zyklus;preis;preisgeld_2023;publikation;auftritt_veranstaltung;erstausrichtung;website 
;Hattinger Förderpreis für Junge Literatur;"Stadt Hattingen;Förderverein Stadtmuseum Hattingen";Hattingen;1-5 Seiten;nein;16-25 Jahre;"Fischer, Julia; Friedrich, Lars; Heinbruch, Christa; Borgmann, Susanne; Ollenik, Ursula";jährlich;Preisgeld;300 €;Lesung;ja;1991;https://www.hattingen.de/stadt_hattingen/Bildung%20und%20Kultur/Stadtmuseum/F%C3%B6rderverein/Hattinger%20F%C3%B6rderpreis%20f%C3%BCr%20junge%20Literatur/
;Ingeborg-Bachmann-Preis;Landeshauptstadt Klagenfurt;Klagenfurt;25min Lesedauer;nein;nein;Die Jury besteht aus mindestens 7 Publizistinnen, Kritiker*innen, Wissenschaftler*innen und Schriftsteller*innen. Die Auswahl der Jurymitglieder treffen Vertreter*innen der Veranstalter*innen.;jährlich;"Preisgeld; Publikation";6000-25000€;ja;ja;1977;https://bachmannpreis.orf.at/
;Jugendkreativwettbewerb „Ausweg gesucht“ – Texte zu Krisen;"vomhörensehen medienagentur;hkk Krankenkasse";Bremen/Hamburg/Niedersachsen;0-2500;ja;15 bis 25 Jahre;Kreativköpfe aus Film, Musik, Journalismus, Medienpädagogik und Suchtprävention;jährlich;Preisgeld;Gesamtwert von 8.000€;keine Info;ja;2015;https://ausweggesucht.de/
;Jugendliteraturwettbewerb der Uckermark;"Dominikanerkloster Prenzlau;Stadtbibliothek Prenzlau";Prenzlau;1-4 Seiten;ja;max. 21 Jahre alt;"Beetz, Nico; Berkholz, Christoph; Fliegel, Regina; Flügge, Astrid; Korth – Seredzun, Elke; Rohrbeck, Ellen; Schmidt, Dagmar; Völz, Silke; Wendt, Almuth";jährlich;"Preisgeld; Sachpreise";;keine Info;ja;1991;https://www.prenzlau.eu/cms/detail.php/land_bb_boa_01.c.384335.de
;Junger Literaturpreis Schleswig-Holstein;Freundeskreis des Literaturhauses Schleswig-Holstein;Schleswig-Holstein;1-4 Seiten;nein;14 bis 20 Jahre;keine Info;keine Info;"Preisgeld; Publikation";500€ (gesamt);ja;ja;2017;https://flsh-kiel.de/junger-literaturpreis-schleswig-holstein/
;Kinder- und Jugendliteraturwettbewerb Eberhard;Landkreis Barnim;Eberswalde;1-7 Seiten;ja;nein;vom Landkreis Barnim berufene unabhängige Jury;alle zwei Jahre;"Preisgeld; bronzene Kleinplastik des Eberwalder Metallbildhauers Eckhard Herrmann";2.500 €;ja ;ja;2001;https://www.oldenburg.de/startseite/kultur/kulturprojekte-und-preise/kulturpreise/kinder-und-jugendbuchpreis.html
;Konstantin-Andok-Literaturpreis;Soli Netz;online;16 DIN-A4 Seiten;ja;nein;keine Info;erstmals;Preisgeld;100-600€;ja;ja (online);2023;https://soli-netz.blog/category/konstantin-andok-literaturpreis/
;Kulturzone Schreibwettbewerb 2023;Kulturzone e.V.;Landkreis Uckermark;1-3 Seiten;ja;nein;Eine unabhängige Jury bestimmt die GewinnerInnen.;alle paar Jahre;Publikation;/;ja;nein;2006;http://www.kultur-zone.de/forum.htm
;Kurzgeschichtenwettbewerb „Dark Sky Nord“;Initiative DarkSky Nord;Bremen;Max 10.000 Zeichen – OHNE Leerzeichen;ja;nein;keine Info;keine Info;"Publikation; Sachpreise";/;ja;nein;2023;https://www.darksky-nord.de/2024/11/17/kurzgeschichtenwettbewerb-2024-2025/
;Kurzgeschichten-Wettbewerb „Hochschule der Zukunft im Jahr 2049“;DHBW Mannheim;Mannheim;0-15000;ja;nein;keine Info;erstmals;"Publikation; Belegexemplar";/;ja;nein;2023;https://www.mannheim.dhbw.de/forschung-transfer/forschungsprofil/forschungsnetzwerk/hochschulanthologie
;LitArena XI – Literaturwettbewerb;Literarische Gesellschaft St. Pölten;St. Pölten;1-4 Seiten;nein;max. 27 Jahre alt;keine Info;jährlich;Preisgeld;200-500;keine Info;keine Info;2003;https://www.litges.at/etcetera/litarena
;Literaturpreis der Künstler-Gilde e.V.;Künstler-Gilde e.V.;Esslingen;keine;nein;nein;Es gibt eine qualifizierte Jury.;jährlich;Publikation;/;ja;nein;2023;https://www.kuenstlergilde.eu/preisverleihungen-verliehene-preise/literaturpreise-fuer-lyrik-kurzprosa/
;Literaturwettbewerb von Literaturpodium.de;"Literaturpodium;Autorengruppe Märkischer Kreis";;1-20 Seiten;ja;nein;keine Info;keine Info;"Publikation; Buchpreise; Sachpreise";/;ja;nein;mind. 2008;http://www.literaturpodium.de/
;Literaturwettbewerb 2023 des Autorenkreises Ruhr-Mark e.V.;Autorenkreis Ruhr-Mark e.V.;Hagen;0-8000 Zeichen;ja;ab 18 Jahren;keine Info;keine Info;Preisgeld;100-300€;ja;ja;2023;https://www.autorenkreis-ruhr-mark.de/literaturwettbewerb-2023/
;Literaturwettbewerb der Bürgerstiftung Düren;Bürgerstiftung Düren;Düren;4-10 Seiten;ja;nein;keine Info;keine Info;Preisgeld;100-300€;keine Info;ja;2019;https://buergerstiftung-dueren.de/eigene-projekte/literaturpreis/
;Moerser-Literaturpreises ;Moerser Gesellschaft zur Förderung des literarischen Lebens e.V.;Moers;1-5 Seiten;ja;mind. 16 Jahre alt;keine Info;jährlich;Preisgeld;750-1500€;keine Info;ja;1998;https://www.moersergesellschaft.de/ausschreibung/
