ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
9783757516871; 3757516877,amatorias fabulas erotische Geschichten,2. Auflage,Berlin,epubli,2023,100 Seiten,"Bauschmann, Michael",,,,,Erzählende Literatur,ger,
9783948750756; 3948750750,An den Kaukasus gekettet,,[Schönebeck (Elbe)],Moloko Print,[2023],135 Seiten,"Franke, Thomas",,,,"Pirosmani, Niko",Fiktionale Darstellung; Erzählende Literatur,ger,
9783988090027; 3988090026,"An die Rollatoren, fertig, los!",,Villingen-Schwenningen,Dichterwettstreit deluxe,[2023],112 Seiten,"Cönig, Jan; Völk, Samson; Jakob, Michael; Kleinschmidt, Eberhard; Beitzel, Tobias; Brünnler, Edith; Eva-Lisa; Goller, Jana; Knoben, Lukas; Leufker, Achim; Paul, Alex; Sioulis, Niko; el toro, mario","Azur, Anna Lisa; Raatz, Elias",,,"Raatz, Elias; Gerlach, Barbara",Anthologie; Gemischte Anthologien; Erzählende Literatur: Anthologien,ger,
9783969404669; 3969404665,"An hellen wie an trüben Tagen, kann die Poesie Dich tragen",,Leipzig,Engelsdorfer Verlag,2023,147 Seiten,"Ehl, Karin",,,,,Anthologie; Gemischte Anthologien,ger,
9783985278268; 3985278261,An Sieg und Rhein,,[Remscheid],Rediroma-Verlag,[2023],322 Seiten,"Münker, Bertram",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
9783945996652; 3945996651,Andere Menschen sind anders,,Saarbrücken,Blattlaus Verlag,2023,431 Seiten,,"Schmidt-Lenhard, Uschi; Weidmann, Heiner",,,,Autobiografie; Anthologie; Erzählende Literatur: Anthologien,ger,
9783757538569; 3757538560,Anderwelt,1. Auflage,Berlin,epubli,2023,172 Seiten,"Steinberg, Anna",,,,,Romanhafte Biographien,ger,
9783757538576; 3757538579,Anderwelt,2. Auflage,Berlin,epubli,2023,172 Seiten,"Steinberg, Anna",,,,,Romanhafte Biographien,ger,
,Anekdoten,,Wien,Buchschmiede von Dataform Media GmbH,[2023]-,,,,,,"Honkisz, Bernhard",Fiktionale Darstellung; Erzählende Literatur,ger,
9783750404212; 3750404216,Anfangsverdacht,1. Auflage,Norderstedt,BoD – Books on Demand,2023,64 Seiten,"Hutterer, Gerhard",,,,,"Krimis, Thriller, Spionage",ger,
9783907424124; 3907424123,Angeschwemmte Tage,1. Auflage,Stein,swiboo.ch,Dezember 2023,181 Seiten,"Zimmermann, Gregory",,,,,Fiktionale Darstellung; Erzählende Literatur,ger,
