literaturzeitschrift_ausgabe_id;ausgabevonliteraturzeitschrift;literaturzeitschrift_id;heftnummer;erscheinungsjahr;ke_beitraege;verfasser_ke_beitraege
LZA59;Sinn und Form;LZ68;2;2017;"Die Geschichte von Lydia und Behn; Meine Wohnung";"Scherer, Marie-Luise;Seiler, Lutz"
LZA60;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;221;2017;"Milchzähne; Die Dörfer von gestern";"Bukowski, Helene;Hulpe, Marius"
LZA61;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;224;2017;"Mein erstes richtiges Buch; Fählüna. Wie Thöny, Hilty, Frick und Wachter ein Jahrzehnt zu früh den Punk erfanden";"Spinnen, Burkhard;Sprenger, Stefan"
LZA62;Sinn und Form;LZ68;3;2017;Von der Kunst eine Kurzgeschichte lang erscheinen zu lassen;Estis, Alexander
LZA63;Sinn und Form;LZ68;5;2017;Die dichte Welt;Fioretos, Aris
LZA64;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;Sonderheft;2017;"Post aus Jyväskyla; Bloß ein Mensch";"Pelny, Marlen;Klüssendorf, Angelika"
LZA65;Sinn und Form;LZ68;2;2018;Der Neandertaler von Darmstadt;Geiser, Christoph
LZA66;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;226;2018;Die Nacht in Riom;Weißenborn, Theodor
LZA67;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;227;2018;"Tagebuch einer jungen Frau, die am Fall beteiligt war; LAUTE: STILLE";"Nolte, Jakob;Fritsch, Werner"
LZA68;Sinn und Form;LZ68;3;2018;"Die Hand; Arbeit am Blasator";"Georgi, André;Klein, Georg"
LZA69;Sinn und Form;LZ68;4;2018;Der Künstlerbesuch;Lehr, Thomas
LZA70;Sinn und Form;LZ68;5;2018;Einer muß wachen. Nachtstück;Kempker, Kerstin
LZA71;Sinn und Form;LZ68;1;2019;"Der einzige Weg; Junger Pfau in Aspik";"Seiler, Lutz;Klein, Georg"
LZA72;Sinn und Form;LZ68;2;2019;Kakoj Kaschmar oder You are welcome;Schulze, Ingo
LZA73;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;229;2019;"Miniquidi; Die Rinne; Der Bulle";"Behr, Sebastian;Lunghuß, Marc;Wintterlin, Lea"
LZA74;Sinn und Form;LZ68;3;2019;Geschichte meines Autos;Steinkopf, Leander
LZA75;Sinn und Form;LZ68;4;2019;Zurück;Haring, Roswitha
LZA76;Sinn und Form;LZ68;5;2019;Nach Split;Kinsky, Esther
LZA77;Sinn und Form;LZ68;6;2019;"Der Blaubart aus Küsnacht; Theo";"Arquint, Tatjana;Arquint, Tatjana"
LZA78;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;233;2020;"Der Gipfel von allem; Als ich einmal fast berühmt wurde; Saturn ohne Ringe; Sie nennen ihn auch Atlas";"Altmann, Kristin;Pelny, Marlen;Schulz, Andrej;Sommer, Philipp"
LZA79;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;236;2020;"grenze; Playhouse";"Dündar, Özlem Özgül;Böhm, Philipp"
LZA80;Sinn und Form;LZ68;4;2020;"Der Wächter; Die Glut; Im Innern des Berges; Mikroben; Wo keine Frage ist; Zartplastik; Die Liste; Die Abkürzung; Die leere Seite im Reisetagebuch";"Lehner, Christian;Lehner, Christian;Lehner, Christian;Lehner, Christian;Lehner, Christian;Steinkopf, Leander;Asgari, Marjan;Schock, Ralph;Sayer, Walle"
LZA81;Das GRAMM;LZ12;1;2021;Die Übungen;Setz, Clemens J.
LZA82;Das GRAMM;LZ12;2;2021;Grünge Orangen;Krusche, Lisa
LZA83;Sinn und Form;LZ68;1;2021;Ohne Form sind wir Staub;Kempker, Kerstin
LZA84;Sinn und Form;LZ68;2;2021;Der Türke;Georgi, André
LZA85;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;237;2021;"Mein Sohn hält mich in seiner Hand; Die Briefe meiner Mutter; Eierfrauen; you";"Hoang, Hieu;Schmeller, Rina;Steiner, Paula;Tidén, Frederik"
LZA86;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;238;2021;"Der Umzug; Der Zwiebelfisch";"Loschütz, Gert;Skármeta, Antonio"
LZA87;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;239;2021;"Würgeengel, 90er Jahre; Rosi; Das Milch & Honig-Notizbuch; Amok; Bruder Klaus; (Notate, 4. Januar 2017); Ungegenwart";"Hettche, Thomas;Schulze, Ingo;Grünbein, Durs;Lenze, Ulla;Lüscher, Jonas;Bazyar, Shida;Bulucz, Alexandru"
LZA88;Sprache im technischen Zeitalter (Spr.i.t.Z.);LZ69;240;2021;Erde Liebe Chaos;Just, Lorenz
LZA89;Das GRAMM;LZ12;3;2021;Ein großes Dankeschön;Loß, Lennardt
LZA90;Das GRAMM;LZ12;4;2021;Tamina Blue;Fallwickl, Mareike
LZA91;Das GRAMM;LZ12;5;2021;Ein verlängertes Wochenende;De Weck, Margaux
LZA92;Das GRAMM;LZ12;6;2021;Rote Asche;Sipal, Akin Emanuel
LZA93;Sinn und Form;LZ68;3;2021;Am Osloer Fjord oder der Fremde;Lange, Hartmut
LZA94;Sinn und Form;LZ68;4;2021;Das japanische Palais;Deckert, Renatus
LZA95;Sinn und Form;LZ68;6;2021;"Der Polyp Polymat; Dreh dich nicht um";"Margwelaschwili, Giwi;Haring, Roswitha"
