Column1;author_username;author_url;text_id;url;text_title;medium_orig;fandom_categories;chapter_amount;creation_date;update_date;wordcount;genre;age_restriction;endorsement_amount;review_amount
7706;Ariane;https://www.fanfiktion.de/u/Ariane;4f998f3a00025b2d0c907530;https://www.fanfiktion.de/s/4f998f3a00025b2d0c907530/1/Daily-Report;Daily Report;Prosa;Kurzgeschichten;4;26.04.2012;13.10.2012;3832;GeschichteHumor, Familie;P6;0;1
7707;JewelyDaiki;https://www.fanfiktion.de/u/JewelyDaiki;507893ac0001b67a0c907530;https://www.fanfiktion.de/s/507893ac0001b67a0c907530/1/Monster;Monster;Prosa;Kurzgeschichten;1;13.10.2012;13.10.2012;951;KurzgeschichteHorror;P16;0;1
7708;tasooks;https://www.fanfiktion.de/u/tasooks;50787d090000d4bf0c907530;https://www.fanfiktion.de/s/50787d090000d4bf0c907530/1/Lagerfeuer;Lagerfeuer;Prosa;Kurzgeschichten;1;12.10.2012;12.10.2012;751;KurzgeschichteAllgemein;P12;1;1
7709;tasooks;https://www.fanfiktion.de/u/tasooks;50787a040000d4bf0c907530;https://www.fanfiktion.de/s/50787a040000d4bf0c907530/1/Ersticken;Ersticken;Prosa;Kurzgeschichten;2;12.10.2012;12.10.2012;244;DrabbleAngst;P12;2;1
7710;tasooks;https://www.fanfiktion.de/u/tasooks;507878f20000d4bf0c907530;https://www.fanfiktion.de/s/507878f20000d4bf0c907530/1/Spiegel;Spiegel;Prosa;Kurzgeschichten;1;12.10.2012;12.10.2012;164;KurzgeschichteAllgemein;P6;1;6
7711;Aseno;https://www.fanfiktion.de/u/Aseno;507863fd00021aca0c907530;https://www.fanfiktion.de/s/507863fd00021aca0c907530/1/Laufzwang;Laufzwang;Prosa;Kurzgeschichten;1;12.10.2012;12.10.2012;249;KurzgeschichteAllgemein;P6;0;0
7712;Wonder;https://www.fanfiktion.de/u/Wonder;4fad88b100022b530c907530;https://www.fanfiktion.de/s/4fad88b100022b530c907530/1/chaos-island;chaos island;Prosa;Kurzgeschichten;5;11.05.2012;12.10.2012;542;GeschichteAbenteuer, Liebesgeschichte;P12;0;2
7713;tasooks;https://www.fanfiktion.de/u/tasooks;507716250000d4bf0c907530;https://www.fanfiktion.de/s/507716250000d4bf0c907530/1/Zikade;Zikade;Prosa;Kurzgeschichten;1;11.10.2012;11.10.2012;447;KurzgeschichteAllgemein;P12;1;1
7714;sarahmith;https://www.fanfiktion.de/u/sarahmith;5076f4390000869d0c907530;https://www.fanfiktion.de/s/5076f4390000869d0c907530/1/Traeume;Träume;Prosa;Kurzgeschichten;1;11.10.2012;11.10.2012;256;KurzgeschichteAllgemein;P6;0;0
7715;-Daiya-;https://www.fanfiktion.de/u/-Daiya-;50758c0200015c6a0c907530;https://www.fanfiktion.de/s/50758c0200015c6a0c907530/1/Liebe-wollen;Liebe wollen;Prosa;Kurzgeschichten;1;10.10.2012;10.10.2012;1221;GeschichteDrama, Schmerz/Trost;P12;0;3
