va_ausgabe_id;va_ausgabe_titel;vonveranstaltung;veranstaltung_id;jahr;gewinner;gewinnertexte;jury;themenvorgabe;preise;Quelle
22;16. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;;2011;"Leicht, Christina;Köhler, Kareen;Pleschko, Romina;Rattay, Helga";"Living Landscape; Wir haben Raketen geangelt; Die Korrektur; Selbstversuch";;Endstation Sehnsucht;;https://www.zuendeln.de/?p=82
23;17. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;;2012;"Svoboda, Ingrid;Hillebrand, Doris;Siegfried, Anita;Müller, Anne";"Kaspressknödel; Janis Joplin und ich; Drei Minuten; Libellen paar sich im Flug";"Schürhoff, Marc;Arsenschek, Robert;Bleuler, Anna-Kathrin;Buchholz, Natalie;Eisele, Julia";Frei sein;;https://www.zuendeln.de/?p=9
24;18. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;;2013;"Janaczek, Rita Maria;Kutil, Katharina;Kellermann, Cathy;Kenneweg, Barbara";"Tage und Wochen; Vier Sekunden; Ao Por do Sol; Eine Minute 53 Sekunden";;1001 Nacht;;https://www.zuendeln.de/?p=3542
25;19. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;;2014;"Zwach, Sabrina;Inken Soppa, Chris;Schliedermann, Frank;Effenhauser, Ulrich";"Krieg; Wände hören; Breuer, Zielke und die Anderen; Der Auftrag";;Ausweitung der Kampfzone;;https://www.zuendeln.de/?p=5009
26;20. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;;2015;"Bewernitz, Doris;Raich, Tanja;Heberling, Carolina;Fritz, Sophia";"Die Reise ins Hoki-Poki-Land; Judith; Am Rand; Halim liegt wach";;Grenzgänger;;https://www.zuendeln.de/?p=6119
27;21. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;;2016;"Eggenweber, Stefan-Manuel;Leifeld, Denis;Fleischer, Ludwig;Lasker-Berlin, Amanda";"Die Eingeweide meines Sohnes; Wassergeburt, falschrum; Die Tonpuppe; Das Lied der törichten Kinder";"Bleuler, Anna-Kathrin;Hauf, Heike;Lange, Kathrin;Čukoski, Anvar";kaputt;;https://www.zuendeln.de/?p=6682
28;22. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;;2017;"Will, Andrea;Kornberger, Ruth;Molchen, Ariana";"Aschehäufchen; Wenn du schreist; Wärme deinen Nächsten";;Frontbericht;;https://www.zuendeln.de/?p=7021
29;23. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;;2018;"Hauser, Franziska;Eyb-Green, Sigrid;Biedermann, Joachim;Stadler, Anna";"Kim unterm Sofa; Atelier mit fleckigem Sofa; Ezio; Als mein imaginäres Kind der Bananenspinne begegnete";;Nichts ist wahr, alles ist erlaubt;;https://www.zuendeln.de/?p=7266
30;25. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;;2019;"Habermann, Christin;Schraknepper, Valeska;Heller, Dorina;Hackl, Anna";"#AlsdasPfandverschwand; Leni sieht das Meer; #Satellitenfehler; Kleinstadtnostalgie";;In einem Monat, in einem Jahr;;https://www.zuendeln.de/?p=7415
31;26. Münchner Kurzgeschichtenwettbewerb;Münchner/Deutscher Kurzgeschichtenwettbewerb;;2020;"Schröder, Yelena;Ahrends, Martin;Hackl, Anna";"Drei Uhr Fünfzehn; Fliegende Straßenbahn; Im Rücken das Ende";;grenzwertig;;"https://www.zuendeln.de/?p=7645; https://www.zuendeln.de/?p=7642; https://www.zuendeln.de/?p=7640"
