objekt_id;objekt_typ;koerperschaft_id;rolle
"9783000508837; 300050883X";Buch;K3225;VerlegerIn Buch
9783000509896;Buch;K918;VerlegerIn Buch
"9783000510397; 3000510397";Buch;K3252;VerlegerIn Buch
"9783000510571; 3000510575";Buch;K346;VerlegerIn Buch
9783000511738;Buch;K597;VerlegerIn Buch
9783000512520;Buch;K1006;VerlegerIn Buch
"9783000514982; 3000514988";Buch;K3024;VerlegerIn Buch
"9783000515156; 3000515151";Buch;K1848;VerlegerIn Buch
9783000517709;Buch;K1967;VerlegerIn Buch
"9783000517709; 3000517707";Buch;K1967;VerlegerIn Buch
9783000522215;Buch;K882;VerlegerIn Buch
"9783000526565; 3000526560";Buch;K473;VerlegerIn Buch
"9783000527166; 3000527168";Buch;K725;VerlegerIn Buch
"9783000528033; 3000528032";Buch;K3346;VerlegerIn Buch
"9783000533044; 3000533044";Buch;K1989;VerlegerIn Buch
"9783000535314; 3000535314";Buch;K947;VerlegerIn Buch
"9783000543302; 3000543309";Buch;K947;VerlegerIn Buch
9783000543685;Buch;K494;VerlegerIn Buch
9783000544439;Buch;K918;VerlegerIn Buch
"9783000546471; 3000546472";Buch;K303;VerlegerIn Buch
"9783000549656; 300054965X";Buch;K1163;VerlegerIn Buch
"9783000557064; 3000557067";Buch;K3270;VerlegerIn Buch
9783000560972;Buch;K142;VerlegerIn Buch
9783000561627;Buch;K1052;VerlegerIn Buch
"9783000564840; 3000564845";Buch;K3328;VerlegerIn Buch
9783000570841;Buch;K748;VerlegerIn Buch
"9783000578571; 3000578579";Buch;K1074;VerlegerIn Buch
9783000579738;Buch;K574;VerlegerIn Buch
"9783000581458; 3000581456";Buch;K2675;VerlegerIn Buch
9783000582592;Buch;K1386;VerlegerIn Buch
9783000587931;Buch;K180;VerlegerIn Buch
"9783000590085; 3000590080";Buch;K2950;VerlegerIn Buch
9783000593833;Buch;K2930;VerlegerIn Buch
"9783000594786; 3000594787";Buch;K2927;VerlegerIn Buch
"9783000601149; 3000601147";Buch;K393;VerlegerIn Buch
"9783000601507; 3000601503";Buch;K2794;VerlegerIn Buch
9783000602023;Buch;K924;VerlegerIn Buch
"9783000606717; 3000606718";Buch;K1332;VerlegerIn Buch
9783000613784;Buch;K2331;VerlegerIn Buch
9783000614873;Buch;K55;VerlegerIn Buch
9783000617089;Buch;K1660;VerlegerIn Buch
"9783000617973; 9786138352587; 3000617973";Buch;K2658;VerlegerIn Buch
9783000620942;Buch;K670;VerlegerIn Buch
9783000621123;Buch;K1693;VerlegerIn Buch
"9783000631726; 3000631720";Buch;K1338;VerlegerIn Buch
"9783000636431; 3000636439";Buch;K107;VerlegerIn Buch
"9783000641671; 300064167X";Buch;K1277;VerlegerIn Buch
9783000643095;Buch;K3446;VerlegerIn Buch
"9783000644788; 3000644784";Buch;K893;VerlegerIn Buch
"9783000645778; 3000645772";Buch;K895;VerlegerIn Buch
9783000647505;Buch;K2104;VerlegerIn Buch
9783000660474;Buch;K1340;VerlegerIn Buch
9783000663406;Buch;K1865;VerlegerIn Buch
9783000663710;Buch;K2550;VerlegerIn Buch
"9783000663987; 3000663983";Buch;K3226;VerlegerIn Buch
"9783000665165; 3000665161";Buch;K901;VerlegerIn Buch
9783000666841;Buch;K2526;VerlegerIn Buch
9783000669552;Buch;K3029;VerlegerIn Buch
"9783000670077; 3000670076";Buch;K1762;VerlegerIn Buch
"9783000673641; 3000673644";Buch;K3346;VerlegerIn Buch
9783000675195;Buch;K2417;VerlegerIn Buch
"9783000682285; 3000682287";Buch;K995;VerlegerIn Buch
"9783000684852; 3000684859";Buch;K2950;VerlegerIn Buch
"9783000684944; 3000684948";Buch;K1533;VerlegerIn Buch
9783000685903;Buch;K432;VerlegerIn Buch
"9783000688126; 3000688129";Buch;K2290;VerlegerIn Buch
"9783000696077; 3000696075";Buch;K3483;VerlegerIn Buch
9783000699078;Buch;K486;VerlegerIn Buch
"9783000703072; 3000703071";Buch;K2411;VerlegerIn Buch
"9783000707599; 300070759X";Buch;K2807;VerlegerIn Buch
"9783000711138; 3000711139";Buch;K1348;VerlegerIn Buch
"9783000713736; 3000713735";Buch;K632;VerlegerIn Buch
9783000720598;Buch;K922;VerlegerIn Buch
"9783000722059; 300072205X";Buch;K2041;VerlegerIn Buch
"9783000722110; 3000722114";Buch;K3092;VerlegerIn Buch
"9783000737053; 3000737057";Buch;K603;VerlegerIn Buch
"9783000751974; 3000751971";Buch;K1842;VerlegerIn Buch
9783000755354;Buch;K999;VerlegerIn Buch
9783000755606;Buch;K85;VerlegerIn Buch
"9783000761621; 3000761624";Buch;K925;VerlegerIn Buch
"9783000763946; 3000763945";Buch;K1676;VerlegerIn Buch
"9783000766497; 3000766499";Buch;K3452;VerlegerIn Buch
9783033016309;Buch;K2867;VerlegerIn Buch
9783033016637;Buch;K3360;VerlegerIn Buch
9783033019669;Buch;K2431;VerlegerIn Buch
9783033026575;Buch;K846;VerlegerIn Buch
9783033027633;Buch;K3379;VerlegerIn Buch
9783033032644;Buch;K1817;VerlegerIn Buch
9783033033832;Buch;K181;VerlegerIn Buch
9783033035331;Buch;K3379;VerlegerIn Buch
9783033042728;Buch;K2115;VerlegerIn Buch
9783033043312;Buch;K2077;VerlegerIn Buch
9783033043800;Buch;K551;VerlegerIn Buch
9783033046474;Buch;K2115;VerlegerIn Buch
9783033047860;Buch;K1626;VerlegerIn Buch
9783033049154;Buch;K136;VerlegerIn Buch
9783033049529;Buch;K3333;VerlegerIn Buch
